premise,choice1,choice2,question,label,idx
Fant je izgubil kos mila.,Bar je bil spolzek.,Bar je oddajal dišavo.,cause,0,256
Gumb na moji srajci mi je odpadel.,Gumb sem spet prišila.,Gumb sem spet prilepil.,effect,0,257
Slavna oseba je nosila sončna očala.,Želela se je zahvaliti svojim oboževalcem.,Želela se je izogniti prepoznavanju.,cause,1,258
Moja babica je umrla.,Moja družina je imela pogreb.,Moja družina se je zbrala.,effect,0,259
Policist je potegnil slavno osebo.,Slavna oseba je policistu ponudila podkupnino.,Zvezdnica je tožila policista.,effect,0,260
Moški je terapevtu razkril osebne podatke.,Zaupal je terapevtu.,S terapevtom se ni strinjal.,cause,0,261
Moški je padel v nezavest.,Napadalec je moškega udaril v glavo.,Napadalec je moškemu vzel denarnico.,cause,0,262
Pristopil sem k moškemu.,Videti je bil zaseden.,Videti je bilo znano.,cause,1,263
Vodja je prejel pohvalo.,Boril se je proti revščini.,Dvignil je davke.,cause,0,264
Moški je risanko prebral v časopisu.,Srkal je kavo.,Zahihotal se je.,effect,1,265
Moj nabiralnik je bil poln pisem.,Pokrov na nabiralniku se je pokvaril.,Dva tedna sem šel na dopust.,cause,1,266
Banane so dozorele.,Stisnili smo jih.,Jedli smo jih.,effect,1,267
Kuhar je pritisnil na testo.,Testo se je drobilo.,Testo se je sploščilo.,effect,1,268
Glina se je strdila.,Lončar je glino zvil v kroglo.,Lončar je glino dal v peč.,cause,1,269
Noge so mehkale.,Šel sem na pohodništvo.,Šel sem plavati.,cause,0,270
Ženska je izdala svojega prijatelja.,Prijateljica ji je poslala voščilnico.,Njen prijatelj je prekinil stik z njo.,effect,1,271
Moški jo je opazil.,Zalotil je njen vonj.,Bil je obrnjen proti njej.,cause,0,272
Ženska in njen fant sta se sprla.,Nehala sta se videti.,Načrtovali so skupne počitnice.,effect,0,273
Nasilnik je zataknil nogo pred sošolca.,Nasilnik je pobral svojega sošolca.,Nasilnikov sošolec se je spotaknil.,effect,1,274
Moški se je hotel maščevati svojemu sovražniku.,Moški je svojega sovražnika postavil za zločin.,Moški je s sovražnikom razglasil premirje.,effect,0,275
Spila sem skodelico kave.,Moje zehanje je prenehalo.,Pokimal sem spanje.,effect,0,276
Žensko so zamenjali s sestro.,Ženska je bila blizu s sestro.,Ženska je bila videti kot njena sestra.,cause,1,277
Moški je naredil napako pri izračunih.,Preveril je svoje delo.,Njegovo delo je bilo prenagljeno.,cause,1,278
Ženska očala so se zameglila.,Ležala je ob bazenu.,Vstopila je v savno.,cause,1,279
Kupec se je spraševal o stroških izdelka.,Preveril je njegovo ceno.,Odločil se je za nakup.,effect,0,280
Voditelj oddaje malenkosti je tekmovalca pozval k odgovoru.,Tekmovalec je bil v prednosti.,Tekmovalec je pozvonil.,cause,1,281
Fant se je bal spat.,Prižgal je nočno luč.,Ogledal si je grozljivko.,cause,1,282
Ženska je hotela biti zdravnica.,Obiskala je bolnišnico.,Šla je na medicinsko fakulteto.,effect,1,283
Fantu se je televizijska oddaja zdela dolgočasna.,Posnel ga je.,Izklopil ga je.,effect,1,284
Moja hči je doživela alergijski napad.,"Spodbujal sem jo, naj globoko vdihne.",Odpeljala sem jo na urgenco.,effect,1,285
Fant je imel težave z zapenjanjem srajce.,Srajce ni hotel nositi.,Za pomoč je prosil mamo.,effect,1,286
Izpljunil sem žvečilni gumi.,Izpihnil sem mehurček z dlesnijo.,Dlesen je izgubila svoj okus.,cause,1,287
Fant je mamici naslikal sliko.,Njegova mati je sliko obesila na steno.,Njegova mati je sliko prodala v galerijo.,effect,0,288
Tekmovanje se je končalo.,Ekipe so se črpale.,Ekipi sta si podali roke.,effect,1,289
Deklica je vljudno zavrnila hamburger.,Bila je vegetarijanka.,Všeč ji je bila hitra hrana.,cause,0,290
Obrisala sem madež na tleh.,Madeža sem se znebila.,Na tleh imam umazanijo.,effect,0,291
Dokumenti so vsebovali pomembne podatke.,Papir sem jih strgal skupaj.,Hranil sem jih na varnem.,effect,1,292
Jajce je brizgalo.,Spustil sem ga.,Skuhal sem.,cause,0,293
Deklica je potisnila svojega prijatelja.,Njen prijatelj se je zadušil.,Njen prijatelj je padel.,effect,1,294
Skupina najstnikov je strmoglavila na zabavi.,Gostitelj zabave jih je brcnil ven.,Gostitelj zabave jih je povabil noter.,effect,0,295
Moški se je stuširal.,Bil je prepoten od treninga.,Odprl je novo milo.,cause,0,296
Zaslon prenosnika je postal črn.,Garancija prenosnika je potekla.,Baterija prenosnika je izginila.,cause,1,297
Knjiga je postala velika uspešnica.,Prirejen je bil v film.,Avtor je zbledel v nejasnost.,effect,0,298
"Moški se je počutil hvaležen, da je živ.",Ozdravljen je bil od raka.,Njegova žena je bila diagnosticirana z rakom.,cause,0,299
Ženska je plinskemu podjetju napisala ček.,Raje je plačevala z gotovino.,Prejela je svoj mesečni račun.,cause,1,300
Ženska ni želela zamenjati kariere.,Pri sedanjem poklicu je zaslužila veliko denarja.,V sedanjem poklicu je prestala veliko stresa.,cause,0,301
Ženska je zoper moškega vložila prepoved približevanja.,Moški jo je poklical.,Moški jo je zalezoval.,cause,1,302
Oceanska plima je bila nevarna.,Plavalci so si nadeli več kreme za sončenje.,Plavalci so se vrnili proti obali.,effect,1,303
Ženska je zavrnila drugo pivo.,Bila je določena voznica za noč.,Natakarja je poznala.,cause,0,304
Zmanjkalo mi je sape.,Preplezal sem več stopnic.,Prebral sem več poglavij knjige.,cause,0,305
Ženska je veljala za duševno bolno.,Poslali so jo v psihiatrično ustanovo.,Kariero si je poiskala kot psihiater.,effect,0,306
Sonce se je pojavilo iz oblakov.,Ženska je pogledala na uro.,Ženska je slekla pulover.,effect,1,307
Nogometni trener je po tekmi izgubil glas.,"Vpil je, kadar koli je igralec pipal žogo.","Žvižgal je vsakič, ko je igralec dosegel zadetek.",cause,0,308
Ženska je pohvalila moškega.,Kihal je.,Za zardel je.,effect,1,309
Pritisnil sem na urez na roki.,Zacelilo se je.,Nehala je krvaviti.,effect,1,310
Ženska je imela okužbo.,Vzela je antibiotike.,Umila si je roke.,effect,0,311
Žensko so poklicali na poroto.,Stopila je v stik s svojim odvetnikom.,Odpovedala je sestanke.,effect,1,312
Ženska se je razpihovala z roko.,V sobo je namestila klimatsko napravo.,Klima v sobi se je pokvarila.,cause,1,313
Zdravniki so pacientu amputirali nogo.,Bila je močno podpluta.,Bila je močno okužena.,cause,1,314
Deklica se je strmela vase v ogledalo.,Počutila se je samozavestno.,Ogledalo je bilo zamazano.,cause,0,315
Moškega so ugriznili komarji.,Šel je na kampiranje v gozd.,Zaspal je na svojem kavču.,cause,0,316
Ženska je bratu podarila darilo.,Njen brat ni hotel sprejeti darila.,Njen brat je darilo odvil.,effect,1,317
Skrbnica jo je pročistila.,Seja je bila prestavljena.,Seja se je začela.,effect,1,318
Otroci so tekli skozi brizgalno.,Jedli so popsicles.,Bili so vroči.,cause,1,319
"Moški je potreboval kovance, da je napolnil parkomat.",Pod avtomobilskimi sedeži je iskal svoboden drobiž.,Ljudi na ulici je prosil za ohlapne drobiže.,effect,0,320
"Stranka je menila, da je spominek predrag.",Prodajalec mu ga je prodal.,Dogovoril se je s prodajalcem.,effect,1,321
Znanstvenik si je pridobil priznanje.,Odkrila je novo vrsto.,Na univerzi je dobila mandat.,cause,0,322
Avto se je ustavil na prehodu.,Pešec je prečkal cesto.,Pešec je čakal na pločniku.,effect,0,323
Fant se je nezadržno hihital.,Brat ga je žgečkal.,Njegov brat ga je brcnil.,cause,0,324
Moja kolena so se zavila na stopnicah.,Ujel sem se na ograji.,Ograja se je odlepila od stene.,effect,0,325
Šel sem v posteljo.,Bila je jasna noč.,Bilo je pozno.,cause,1,326
Moj prijatelj je okreval po operaciji.,Odložil sem jo v bolnišnico.,Prinesel sem ji voščilnico in rože.,effect,1,327
DJ je vklopil glasbo.,Ljudje so zapustili zabavo.,Ljudje so začeli plesati.,effect,1,328
Varnostnik je predvajal nadzorni posnetek.,Nadzorna kamera ni bila osredotočena.,Opazil je nekaj sumljive dejavnosti.,cause,1,329
Po prebujanju sem se zadrževal v postelji.,Bil sem lačen.,Bila je sobota.,cause,1,330
Moški je dvignil težko škatlo.,Položil je hrbet.,Praskal se je po hrbtu.,effect,0,331
Manjkala je ženska torbica.,Vsebovalo je veliko smeti.,Pustila ga je brez nadzora.,cause,1,332
Ženska je utrpela amnezijo.,Imela je alergijsko reakcijo.,Prišla je v prometno nesrečo.,cause,1,333
Moral sem dobiti denar.,Šel sem v banko.,Kupil sem denarnico.,effect,0,334
Kolesar je padel na tla.,Bik je pripeljal jahača.,Bik je preganjal jezdeca.,cause,0,335
Fant je hotel biti mišičast.,Dvigal je uteži.,Igral je računalniške igre.,effect,0,336
Znanstvenik je izvedel poskus.,Potrdila je svojo teorijo.,Svoje podatke je izmislila.,effect,0,337
Mleko je ostalo hladno.,Bilo je pasterizirano.,Shranila sem ga v hladilniku.,cause,1,338
Naporni dojenček se je umiril.,Starši so pred dojenčkom stresli ropotuljico.,Starši so izbrali ime za otroka.,cause,0,339
V vročo juho sem dal kocke ledu.,Juha se je ohladila.,Juha je postala gosta.,effect,0,340
Kosilo je delilo kosilo s prijateljico.,Njen prijatelj je pozabil prinesti kosilo.,Na kosilu je poleg nje sedela njena prijateljica.,cause,0,341
Policija je preiskavo zaključila.,Osumljenca so prijeli.,Žrtev si je opomogla.,cause,0,342
Dež je popustil.,Šel sem na sprehod.,Brskal sem po internetu.,effect,0,343
Skodelica čaja je bila vroča.,Pihal sem na njem.,Izlil sem ga.,effect,0,344
Fotografija je zbledela.,Bilo je ponarejeno.,Bilo je staro.,cause,1,345
Fant je dobil črno oko.,Nasilnik se je norčeval iz fanta.,Nasilnik je fanta udaril.,cause,1,346
Izgubil sem denarnico.,Naložila sem svoj telefon.,Korakal sem nazaj.,effect,1,347
Lovcu je zmanjkalo streliva.,Napolnil je pištolo.,Nameril je jelena.,effect,0,348
Morsko življenje se je zmanjšalo.,Čolni so pluli po oceanu.,Nafta se je razlila v ocean.,cause,1,349
Kocko ledu sem spustil pod toplo vodo.,Kocka ledu se mi je prijela za prste.,Kocka ledu je izginila.,effect,1,350
Stranka je prišla v butik.,Denarnico je pustila doma.,Okenski zaslon ji je padel v oči.,cause,1,351
Moški je pil vodo ob obroku.,Njegov obrok je bil hladen.,Njegov obrok je bil začinjen.,cause,1,352
Ženska se je držala stran od javnih mest.,Bila je nalezljiva.,Bila je vinjena.,cause,0,353
V sobi je napolnil gnilobni vonj.,Z roko sem stisnil nos.,Nataknil sem gumijaste rokavice.,effect,0,354
Zaposleni je zamudil delo.,Družina je stopila v stik z njo.,V njeni družini je bila smrt.,cause,1,355
Magnet je privabil sponko.,Sponka je padla z magneta.,Sponka se je zataknila za magnet.,effect,1,356
Vrtnar je potegnil plevel.,Plevel je prišel iz tal.,Plevel je dal semena.,effect,0,357
Naročili smo pico.,Pica je bila dostavljena.,Pica se je ohladila.,effect,0,358
Najstnik je zrasel višji od očeta.,Šel je skozi rast.,Pridružil se je košarkarski ekipi.,cause,0,359
Pacient je bil podvržen tveganemu medicinskemu postopku.,Postopek je bil drag.,Strokovnjaki so priporočili postopek.,cause,1,360
Moški je ujel majico srajce na prečke ograje.,Skočil je čez ograjo.,Rokav je strgal.,effect,1,361
Preiskovalci so moško smrt ocenili kot samomor.,Pustil je zapisek.,Imel je otroke.,cause,0,362
Računalnik se je zrušil.,Varnostno kopiral sem svoje datoteke.,Naložil sem virus.,cause,1,363
Dekleta so bolela usta.,Izgubila je zob.,Pogoltnila je žvečilni gumi.,cause,0,364
Soba je bila zatemnjena.,Odprl sem žaluzije.,Oprala sem okna.,effect,0,365
Oče je dal hčerko v njen voziček.,Naučila se je hoditi.,Bil je utrujen od nošenja.,cause,1,366
Vohun je odkril sovražnikovo lokacijo.,Vohun je prisluhnil sovražnikovemu telefonu.,Vohuna je najela vlada.,cause,0,367
Kozarci na mizi so se razlili.,Otrok je risal na mizi.,Otrok je odrgnil prt.,cause,1,368
Voda v čajniku je začela vreti.,Čajnik se je ohladil.,Čajnik je zažvižgal.,effect,1,369
Mesto je ponovno izvolilo župana.,Mesto je zmanjšalo svoj proračun.,Župan je svoje obljube izpolnil.,cause,1,370
Ženska je pretiravala s podrobnostmi zgodbe.,Želela je pozornost.,Počutila se je sramežljivo.,cause,0,371
Ženska je zadela krizo srednjih let.,Upokojila se je.,Šla je potapljati v nebo.,effect,1,372
Moški je zavrnil tragedijo.,Z lahkoto ga je prebolel.,O tem ni hotel govoriti.,effect,1,373
Moški je žaloval.,Žena ga je kritizirala.,Njegova mati je umrla.,cause,1,374
Deklica je imela fobijo pred psi.,Rešila je zapuščenega psa.,Ugriznil jo je pes.,cause,1,375
"Odločila sem se, da se prehranjujem zdravo.",Obiskovala sem tečaj joge.,Kupila sem sadje in zelenjavo.,effect,1,376
Pacient je zašel v komo.,Trpel je čustveno travmo.,Trpel je možganske poškodbe.,cause,1,377
Pogovor prijateljev za večerjo se je usmeril v politiko.,Pogovor je umiril.,Izbruhnila je debata.,effect,1,378
Ženska je zagledala svojega prijatelja iz druge sobe.,Ženska je mahnila.,Ženska je pobegnila.,cause,0,379
Mati je potrebovala pomoč pri skrbi za svoje otroke.,Otroke je poslala v varstvo.,Odpovedala se je skrbništvu nad otroki.,effect,0,380
Voznik ji je zatrubil.,Še en avto je zavil na njen vozni pas.,Pri luči je zavila desno.,cause,0,381
Moški je hotel prihraniti denar.,Denar je dvignil s svojega hranilnega računa.,Zmanjšal je neresne nakupe.,effect,1,382
Obujem čevlje.,V tleh je bilo razbito steklo.,Barva na stenah je bila mokra.,cause,0,383
Knjižničarka je knjigo locirala v sklade.,Prosil sem knjižničarsko pomoč.,Knjiga je bila odjavljena.,cause,0,384
Mati je postala sin v višini oči.,Pokleknila je.,Držala ga je za roko.,cause,0,385
Spakirala sem svoje stvari.,Lovil sem novo stanovanje.,Odselil sem se iz stanovanja.,cause,1,386
Fant je oponašal starejšega brata.,Fant se je ozrl na starejšega brata.,Fant se je boril s starejšim bratom.,cause,0,387
Deklica je želela odobritev staršev.,Zbežala je od doma.,Upoštevala je pravila svojih staršev.,effect,1,388
Tovornjak je trčil v motocikel na mostu.,Motorist je umrl.,Most se je podrl.,effect,0,389
Trgovina na drobno se je zaprla.,Njegova prodaja je zaostajala.,Obnovil je najem.,cause,0,390
Plavalec je zmagal na dirki.,Prejela je zlato medaljo.,Njena ekipa je izgubila srečanje.,effect,0,391
Onesnaženost zraka v mestu se je poslabšala.,Tovarne so povečale svojo proizvodnjo.,Tovarne zaprte.,cause,0,392
Mati je hodila hčerko.,Njena hči je rigala za kuhinjsko mizo.,Njena hči je postavila kuhinjsko mizo.,cause,0,393
Oprostila sem se skupini.,Izklopil sem telefon.,Zvonil mi je telefon.,cause,1,394
Smučarki je spodrsnilo po klancu.,Spustila je smučarske palice.,Zadela je plast ledu.,cause,1,395
Tisk na brošuri je bil majhen.,Moški je nataknil očala.,Moški je iz žepa vzel pisalo.,effect,0,396
Sprožil sem stikalo za luči gor in dol.,Luč je zbledela.,Luč je utripala.,effect,1,397
Moški je bila pokvarjena ura.,Čakal je na avtobusni postaji.,Za čas je vprašal neznanca.,effect,1,398
Vojaki so bili v krtačo skriti.,Bili so oboroženi s puškami.,Nosili so maskirne uniforme.,cause,1,399
