hypothesis,idx,label,premise
Hillary Clinton je Billova sestra.,81,not_entailment,"V nedavni tožbi tožniki trdijo, da so se Lee, Perlmutter, Arthur Lieberman in Avi Arad zlonamerno zarotili, da prikrijejo in poneverijo finančne interese v Leejevih delih, ki so od leta 1998 v lasti Stan Lee Media. Kriza skupine SLM med drugim vključuje tudi njenega bivšega predsednika Petra F. Paula, ki je pobegnil v Brazilijo, donacije za Billa in Hillary Clinton ter Paulovo izročitev. Leta 2007 je SLM vložila tožbo v višini 5 milijard dolarjev, kjer trdi, da je so-lastnica vseh del, ki jih je Stan Lee ustvaril za Marvel."
Alex Da Silva se uči plesati salso.,82,not_entailment,"Alexa Da Silvo, plesnega inštruktorja salse in koreografa Foxove oddaje »So You Think You Can Dance«, so v soboto prijeli zaradi domnevnega poskusa spolnega napada na štiri učenke, je v izjavi zapisala policijska postaja v Los Angelesu. Da Silvo, 41, so obtožili, da je učenke v zadnjih šestih letih napadel v svojih dveh domovih v dolini San Fernando. Zanj so razpisali varščino v višini 3,8 milijonov dolarjev. Oblasti so izjavile, da so bile vse štiri žrtve v času napadov Da Silvove učenke."
Ruth je v svoji karieri dosegel 47 	»homerunov«.,83,not_entailment,"Ruth si je opomogel od bolezni in težav, ki jih je imel leta 1925, in v Ameriški ligi vodil s 47 »homeruni« oz. z 28 »homeruni« prednosti pred vsemi ostalimi."
Arnold Schwarzeneggerja so izvolili za guvernerja Kalifornije.,84,entailment,"V torek, 7.oktobra 2003, so Arnolda Schwarzeneggerja izvolili za guvernerja Kalifornije."
Eugene W. Weaver je mož Patricije Amy.,85,entailment,Patricia Amy Messier in Eugene W. Weaver sta se 28. maja poročila v katoliški cerkvi Sv. Klare v North Palm Beachu.
Clara Petacci je bila Mussolinijeva ljubica.,86,entailment,"28. aprila 1945 so na milanskem trgu Piazzale Loreto ustrelili in obesili Benita Mussolinija in njegovo ljubico Claro Petacci, kar je bil javni spektakel, ki so ga večkrat tudi fotografirali."
Jupiter ima dvanajst lun.,87,not_entailment,"Dvanajst Jupitrovih lun je relativno majhnih in domnevajo, da so se najverjetneje ujele ter niso nastale v orbiti okoli Jupitra."
Zapatero je v Kostariki sodeloval na ibero-ameriškem srečanju.,88,entailment,"Zapatero je v štirih dneh obiskal naslednja mesta: Brasilio, Sao Paolo, Buenos Aires in Santiago de Chile. Uradni viri trdijo, da so ti obiski sklepni del projekta, ki ga je začel na srečanju EU in Latinske Amerike v mestu Guadalajara v Mehiki in potem meseca novembra nadaljeval na ibero-ameriškem srečanju v Kostariki."
"Predeli Džakarate, ki niso ob morju, so na nekoliko višji legi.",89,entailment,"Džakarta leži na nizki aluvialni ravnici, v preteklosti pa je imela obsežne močvirne predele; deli mesta, ki segajo bolj v notranjost, so na nekoliko višji legi."
Izkupiček bo prejela družina Hepburnove.,90,entailment,"Denar, ki ga bodo iztržili s prodajo, bo šel v sklad za družino Hepburnove."
Kennon ni bil udeležen v drugi svetovni vojni.,91,not_entailment,"Leta 1941 so ga vpoklicali kot aktivnega člana nacionalne garde. Čeprav Kennon ni sodeloval v aktivnih bojih, se v času druge svetovne vojne ni vrnil domov do maja 1945."
Dvorana slavnih srednje šole Auburn High School šteje deset članov.,92,not_entailment,"Dvorana slavnih srednje šole Auburn High School je nedavno predstavila svoj razred za leto 2005, ki šteje deset članov."
800 Mehičanov se je okužilo z novo obliko prašičje gripe.,93,entailment,"MEXICO CITY (Reuters) - V Mehiki je izbruhnila do sedaj neznana, smrtonosna oblika prašičje gripe, ki je ubila kar 60 ljudi in vzbudila strah, da se bo razširila po Severni Ameriki.  Svetovna zdravstvena organizacija je izjavila, da jo skrbi 800 »gripi-podobnih« primerov v Mehiki in tudi potrjen izbruh nove oblike prašičje gripe v Združenih državah. Povedala je, da je v Mehiki umrlo okoli 60 ljudi. Mehiška vlada je potrdila, da je v osrednji Mehiki vsaj 16 ljudi umrlo za prašičjo gripo in da je še 45 morebitnih žrtev bolezni."
Ayrton Senna se je smrtonosno ponesrečil na Veliki nagradi San Marina.,94,entailment,"Zdravniki, ki so zdravili Ayrtona Senno po nesreči, ki jo je imel na Veliki nagradi San Marina, so zanikali, da je umrl na dirkališču v Imoli."
V Iraku so ugrabili tolmača.,95,not_entailment,"V petek so osvobodili dva turška inženirja in afganistanskega tolmača, ki so jih ugrabili decembra."
Pravni stroški za izterjavo kazenske odškodnine se lahko odbijejo kot poslovni stroški.,96,not_entailment,V Teksasu uspešni tožniki v 53% sodnih primerov v zvezi z diskriminacijo iztožijo kazensko odškodnino.
Svet newyorških hotelov in motelov je zveza hotelskih sindikatov.,97,entailment,"Zdaj, ko mestni hoteli trpijo zaradi nenadnega upada v prometu, njihovi upravljavci od sindikatov, ki zastopajo 27.500 postreščkov, sobaric in natakarjev, zahtevajo znižanje plač in druge popustke.  Vendar pa so sindikati v hotelskih vežah od luksuznega hotela Carlyle do bolj skromnega Ramada Inn postavili mejo, saj pravijo, da ni potrebe, da bi se uklonili, medtem ko upravljavci nižajo cene, da bi v prazne sobe pritegnili turiste, poslovneže in druge popotnike. Veliko prezgodaj je, da bi sodili o finančnem zdravju panoge, je izjavil Peter Ward, predsednik Sveta newyorških hotelov in motelov, ki je zveza hotelskih sindikatov."
Hubble je odkril črne luknje.,98,not_entailment,"Odkritje temelji na meritvah hitrosti vrtinca iz vročega plina, ki kroži okrog črne luknje."
Umrl je papež Janez Pavel II.,99,entailment,"Središče Chicaga se je iz kraja žalovanja, kjer so objokovali smrt papeža Janeza Pavla II., spremenilo v kraj praznovanja, kjer so se katoliški verniki zbrali, da bi proslavili ustoličenje papeža Benedikta XVI."
Amatriciana je omaka.,100,entailment,"Za kosilo sem šla k Ciprianiju. Pri Ciprianiju je dobro to, da je popolnoma italijanski. Vsak človek tam je Italijan. Celo ameriški sommelier je Italijan. Vsi govorijo italijansko. To je dober občutek. Mislim, da sem pri Ciprianiju doživela eno najbolj prefinjenih postrežb v restavraciji. Za kosilo sem jedla spaghetti a la chitarra z omako amatriciana. Jedla sem goveji tatarski biftek. Jedla sem ocvrto mešano morsko hrano. Poleg tega sem jedla tudi sveže testenine z ragujem iz mlade račke. Bile so izjemne. Nato sem naročila krožnik parmezana z zelenimi olivami in celega pečenega brancina. Jedla sem skupaj s še eno osebo. Popila sva nekaj kozarcev vina. Nisva naročila sladice; popila sva kozarček vina preveč, zato sva bila zelo sita. Kako uro sva še ostala in samo pila vino, ker je moj prijatelj naročil steklenico."
"Michelle Orchard od Sebastiana Leeja zahteva na stotisoče funtov, ker hoče nov nos.",101,not_entailment,"Šolska kuharica zahteva odškodnino od najstnika, ki jo je resno poškodoval, ko se je lovil  prijateljem. Če bo pri tem uspešna, bi lahko učenci postali pravno odgovorni za razposajeno obnašanje, ki privede do nesreč.   42-letna Michelle Orchard zahteva na stotisoče funtov odškodnine od Sebastiana Leeja, ki je bil star 13 let, ko se je januarja 2004 zaletel vanjo med odmorom za kosilo na šoli Corfe Hills, Corfe Mullen v Dorsetu.   Kot so včeraj slišali višji sodniki na pritožbenem sodišču, je Sebastian, za katerim je tekel prijatelj, ritensko trčil vanjo in jo z zadnjim delom glave zadel v obraz. Nos ge. Orchard je bil zlomljen, zobje pa poškodovani. Njeni odvetniki trdijo, da je utrpela tudi resne možganske poškodbe, ki so vodile v delno paraliziranost in težave z ravnotežjem. Od nesreče dalje ni mogla delati."
"Pričakovati je, da se bodo ta teden tisoči ljudi vrnili v New Orleans, saj so deli mesta odprti za stanovalce.",102,not_entailment,Nagin je zagovarjal svoj načrt vrnitve do 180.000 ljudi v mesto v tednu in pol navkljub zaskbljenosti o primanjkovanju pitne vode in močno onesnaženim poplavnim vodam.
Altajski ledeni mladec je sprožil velik spor.,103,not_entailment,"Odkritje telesa bojevnika – za katerega se predvideva, da je pred več kot 2.000 leti umrl v boju – bi arheologom lahko pomagalo določiti lokacijo starodavnega svetega kraja. Mladi bojevnik, star okrog 30 let ter najden s sulico, mečem, pasom in nožnico, je osupil arheologe, ki so našli njegovo kamnito krsto."
Toshiba nima premikajočih se delov.,104,not_entailment,Toshiba je proizvedla gorivno celico brez premikajočih se delov.
Barings je bila najstarejša britanska komercialna banka.,105,not_entailment,"Britanski tabloidi so predstavili Nicholasa Leesona kot podleža iz delavskega razreda, ki je lastnoročno uničil Barings PLC, 233-letno londonsko komercialno banko, ki je pomagala financirati napoleonske vojne."
Afroameričani so manjšina v ZDA.,106,entailment,"Članek omenja tudi, da je med dvema manjšinjskima populacijama, Afroameričani in Latinoameričani, večji pojav debelosti, a v analizi povečanja debelosti ne upošteva povečanja teh populacij kot delov prebivalstva ZDA.  Afroameričani in Latinoameričani imajo višje stopnje debelosti kot belski Američani, medtem ko imajo azijski Američani relativno nizko stopnjo debelosti. Čeprav predstavljajo le tretjino prebivalstva ZDA, Afroameričani in Latinoameričani predstavljajo približno polovico rasti prebivalstva."
Mike Tyson je v devetdesetih ugriznil v Holyfieldovo uho.,107,not_entailment,"Tyson, ki je v 90-ih letih zaradi posilstva odslužil tri leta zapora in ki je leta 1997 med dvobojem Evanderju Holyfieldu odgriznil del ušesa, še vedno misli, da lahko ponovno postane prvak v težki kategoriji."
Moški je v premiera zalučal čevelj.,108,entailment,"Univerza se je prav tako opravičila za incident: »[Ž]al nam je, da se je incident zgodil in proti osebi bomo ukrepali v skladu z zakonom. Univerza je prostor za diskusijo, debato in tehtne argumente, ne za metanje čevljev.« Oblasti so mnenja, da premier ni bil zares ogrožen. Moški bo 10. februarja moral na sodišče."
John Glenn je bil prvi človek v orbiti.,109,not_entailment,"Devet mesecev pozneje John Glenn postane prvi Američan, ki je obkrožil Zemljo."
Otroci na Novi Zelandiji so prisiljeni v nošenje oranžnih kombinezonov.,110,not_entailment,"Policija pravi, da je nosil oranžen kombinezon, podkapo in pištolo, ko je okrog 15.15 iz Cherrywooda ukradel 6300 $. Pred banko Leatham je poskušal ukrasti avto, s pištolo grozil starejšemu moškemu in nazadnje ukradel črn Mitsubishi Mirage. Avto so pozneje našli zapuščen blizu Fairmont Terrace v predelu Glenn Terrace oziroma Ridge Street."
Alexandre Berthier je umrl leta 1799.,111,not_entailment,"Še leta 1799 so duhovnike zapirali ali pošiljali v kazenske kolonije, preganjanje pa se je še poslabšalo, ko je francoska vojska, ki jo je vodil general Louis Alexandre Berthier, zajela Rim in zaprla papeža Pija VI., ki je nato avgusta 1799 umrl v ujetništvu v mestu Valence v francoski pokrajini Drôme."
Kandženzenga je visoka 8586 metrov.,112,not_entailment,Ekipa 10 mož naj bi do vznožja gore prispela konec aprila in potovanje na 8.586-metrski vršac začela v začezku maja.
Jedrski arzenal Pakistana zbuja zaskrbljenost.,113,entailment,"ISLAMABAD, Pakistan (CNN) -- Talibanski militantneži so ta teden izvedli najgloblji vpad v Pakistan in prevzeli nadzor nad območji, odkoder je do prestolnice le kratka vožnja.  Pakistanski vladni uradnik je izjavil, da so se v petek militantneži povsem umaknili iz okrožja Buner, čeprav drugi uradniki dvomijo, kako velik je umik in kako dolgo bo trajal. Buner je le 60 milj oddaljen od Islamabada. Situacija je še toliko bolj zaskrbljujoča, ker je Pakistan jedrsko oborožen. Ta islamska republika naj bi imela med 30 in 40 jedrskih bojnih glav, trdi jedrska varuhinja ZN, Mednarodna agencija za atomsko energijo (IAEA)."
Bob Schindler se je poročil z Mary.,114,entailment,"V petek, 25. marca 2005, je oče Terri Schiavo v zadnjem trenutku vložil poziv, naj se njegovi hčeri v petek ponovno vstavi cevko za umetno hranjenje. »Terri postaja šibkejša. To so njene zadnje ure,« je rekel Bob Schindler, Terrijin oče. »Nekaj je treba narediti in to hitro.« Bob Schindler in njegova žena Mary sta v petek vložila nujni poziv, da bi njuni 41-letni hčeri ponovno vstavili cevko za umetno hranjenje. Pred tem je v petek zvezni sodnik James Whittemore zavrnil prejšnji poziv družine. V sredo je zavrnil podobno zahtevo. Novi poziv bo vložen na Pritožbeno sodišče za 11. okrožje v Atlanti, čeprav je to sodišče doslej že dvakrat zavrnilo poziv družine. Cevko so odstranili v petek, 18. marca 2005."
"Cene surove nafte so dosegle nove višave, saj rastejo strahovi glede obsega škode, ki jo je povzročil hurikan Katrina na pridobivanje nafte v Mehiškem zalivu.",115,not_entailment,95 % proizvodnje nafte in več kot 83 % proizvodnje zemeljskega plina v Mehiškem zalivu po Katrini ne obratuje.
Toshiba je hčerinsko podjetje Dell Inc.,116,not_entailment,"Na Toshibi, ki je tretji največji proizvajalec prenosnih računalnikov na svetu za Dell Inc. in Hewlett-Packard Co., pravijo, da bo osebni računalnik na Japonskem na voljo v začetku leta 2006."
Mark Hacking je bil sprejet v zapor Salt Lake County Jail v ponedeljek.,117,not_entailment,"Hacking je ženo prijavil kot pogrešano v ponedeljek, 19. julija."
Ženski uspel solo vzpon na Everest.,118,entailment,"Britanska alpinistka Alison Hargreaves je postala prva ženska, ki se je sama in brez dodatnega kisika povzpela na Everest."
Tri stranke ustanovile nizozemsko koalicijsko vlado.,119,entailment,"29. junija je padla nizozemska desna koalicijska vlada. Sestavljena je bila iz krščanskih demokratov (CDA), ki jih je vodil premier Jan Peter Balkenende, desne liberalne stranke (VVD) in t. i. »levo-liberalne« D66."
Indians iz Kinstona sodelujejo v Carolina League.,120,entailment,"Kinston Indians so ekipa minor league baseball iz Kinstona v Severni Karolini. Ekipa, ki je podružnica Cleveland Indians razreda A, igra v Carolina League."
Molly Walsh kani nehati kupovati generične izdelke.,121,not_entailment,"21-letna Molly Walsh, študentka Univerze Georgea Washingtona, ki nakupuje v lekarni CVS v Washingtonu D.C., je dejala, da ne namerava zavreči nobenega od zdravil trgovske znamke, ki jih ima doma in jih je kupila, da privarčuje. Prav tako ne kani nehati kupovati generičnih izdelkov."
Luna Titan ima premer 5100 kilometrov.,122,not_entailment,"Na novo predlagana razdalja je veliko bližje od trenutnih položajev, ki sta 2.870.972.200 kilometrov od sonca za Uran in 4.498.252.900 kilometrov za Neptun."
Blair je pripadnik Anglikanske cerkve.,123,not_entailment,"Britanski premier Tony Blair je dejal, da bi lahko današnji dogodki »na novo spisali zgodovino« in »pobegnili težkim sponam zgodovine«. Blair je dejal: »Poglejmo nazaj in videli bomo stoletja, omadeževana s spori, trpljenjem, celo sovraštvom med ljudstvi na teh otokih.« Blairov predhodnik, Sir John Major, je dejal: »Pogled na ljudi, ki so si bili nekoč popolnoma nasprotni, danes pa skupaj načrtujejo prihodnost Severne Irske, je zelo privlačen,« in dodal: »Od samega začetka sem vedno verjel, da je bilo to mogoče, da pa bo težko in dolgotrajno.«"
Otok dobi vodo iz zbranega dežja.,124,entailment,"Ker na otoku tudi ni vodnjakov, je treba vodo pridobiti iz dežja, skrbno zbranega v betonskih cisternah."
Jacques Delors je nasledil Jacquesa Santerja kot predsednik Evropske komisije.,125,not_entailment,"Jacques Santer je leta 1995 nasledil Jacquesa Delorsa kot predsednik Evropske komisije; bil je drugi Luksemburžan, ki je zasedel ta visoki položaj."
"Prišlo je do primera industrijske špijonaže, v katerem sta bila udeležena GM in VW.",126,entailment,"Primer industrijske špijonaže, v katerem sta bila udeležena GM in VW, se je začel, ko je VW za vodjo proizvodnje najel Josa Ignacia Lopeza, zaposlenega v hčerinskem podjetju GM, Adam Opel."
Luc Jouret je bil voditelj Redu sončnega templja.,127,not_entailment,"Švicarska policija je v četrtek potrdila, da je bil vodja kulta Luc Jouret med mrtvimi, ki so jih našli v požgani koči Redu sončnega templja v alpski vasi Granges-sur-Salvan."
Eurest Support Services je podružnica Ernst and Young.,128,not_entailment,"Podjetje, katerega pooblaščeni revizor je Deloitte and Touche, je naročilo podjetju Ernst and Young, da izvede temeljit pregled računov Eurest Support Services, ki je podružnica, ki prehranjuje mirovne sile ZN v najmanj osmih državah."
Vancouver se nahaja v Kanadi.,129,entailment,"Trije protestniki proti olimpijskim igram, preoblečeni v dostavljalce rož, so včeraj popoldne na hitro razdejali pisarno kanadskega premiera Gordona Campbella v centru Vancouvra v Britanski Kolumbiji, pri čemer so razbili okna ter metali slike, pisarniške dokumente in različne druge stvari. Ko so osumljence ujeli, so ti povedali, da jih je razburila Cambellova podpora olimpijskim igram 2010 v Vancouvru v Britanski Kolumbiji. Prav tako so trdili, da delajo za »Komite proti revščini«. Grozijo jim obtožbe poškodovanja tuje lastnine in grozenja med in po dogodku. Policija jih navaja le kot 23-letnega moškega, 29-letnega moškega in 17-letno žensko. Za 23-letnika je to tretja obtožba motenja posesti."
Pri potopu trajekta je življenje izgubilo 100 ali več ljudi.,130,entailment,"Čezkanalski trajekt Herald of Free Enterprise znamke Townsend Thoresen je 6. marca potonil po izplutju iz belgijskega pristanišča Zeebrugge, pri čemer je življenje izgubilo 135 ljudi."
Sinu Nicolasa Cagea je ime Kal-el.,131,entailment,"čeprav sta se rodila na različnih planetih, imata novorojeni sin z oskarjem nagrajenega igralca Nicholasa Cagea in Superman nekaj skupnega – obema je ime Kal-el."
Doris Lessing je dobila Nobelovo nagrado za književnost leta 2007.,132,entailment,"Po mnogih ugibanjih in londonskih špekulacijah je bilo razglašeno, da je britanska avtorica Doris Lessing (»Zlata beležnica«, 1962) dobitnica Nobelove nagrade za književnost leta 2007. Na Mednarodnem knjižnem sejmu v Frankfurtu v Nemčiji, ki trenutno poteka, je odločitev naletela na splošno odobravanje kot odločitev, ki nagrajuje literarno delo avtorice, ki je dobro uveljavljena izven lastne domovine, in ne kot politična izjava. Razlog, ki so ga navedli ob podelitvi prestižne nagrade Doris Lessing je bil, da so želeli počastiti »avtorico epov o ženski izkušnji, ki je s skepticizmom, ognjem in vizionarsko močjo razdeljeno civilizacijo podvrgla natančnemu pregledu.«"
Sedež STO je v Ženevi.,133,entailment,"Sedež STO je v Ženevi, a spori, ki sodijo v njeno pristojnost, se po pravilih ICC rešujejo v Parizu."
"FDA je našla kovine v približno 200 tabletah od 70 milijonov, ki jih je poslala skozi detektor kovin.",134,not_entailment,"Po podatkih FDA je preiskava nekega podjetja odkrila kovine v približno 200 tabletah od 70 milijonov, ki jih je poslalo skozi detektor kovin."
Rusi so rekorderji v najdaljšem bivanju v vesolju.,135,entailment,"Kozmonavt Sergej Avdejev, ki je trenutno na vesoljski postaji Mir, je postal oseba z najdaljšim skupnim časom bivanja v vesolju. Skupaj je zbral 681 dni."
Dr. James Anderson ja zaposlen na Univerzi v Readingu.,136,entailment,"7. decembra so NBC News poročali zgodbo o Dr. Jamesu Andersonu, profesorju na Oddelku za računalniške vede na Univerzi v Readingu v Veliki Britaniji. V poročilu so navedli, da je Anderson rešil »zelo pomemben problem«, star 1200 let: problem deljenja z nič. Po podatkih BBC-ja je Anderson ustvaril novo številko, ki jo je poimenoval »nullity« in ki je izven premice realnih števil. Anderson to število opredeljuje kot »transrealno število« in ga označuje z grško črko F. O številu je poučil učence šole Highdown v mestu Emmer Green, Reading."
SEC je premagal industrije.,137,not_entailment,"Novo pravilo SEC, s katerim se krepijo odbori vzajemnih skladov, predstavlja poraz za industrije."
Kip svobode je bil postavljen leta 1986.,138,not_entailment,"Imam komplet značk Coca-cole Grand Union, izdan ob stoletnici kipa svobode leta 1986."
Doug Lawrence je prodal impresionistični oljni pejsaž J. Ottisa Adamsa,139,not_entailment,Doug Lawrence je sredi sedemdesetih let kupil impresionistični oljni pejsaž J. Ottisa Adamsa pri trgovcu s starinami v Fort Waynu.
Vse obtožbe nekonkurenčnega zaposlovanja so bile pozneje zavrnjene.,140,not_entailment,"Začetno ponudbo, s katero bi preprečili sedmim nekdanjim zaposlenim pri GM, da bi 12 mesecev delali za Volkswagen, je frankfurtsko sodišče zavrnilo."
Charles Haviland je ameriški državljan.,141,not_entailment,"Vemo, da so bile omejitve glede videokamer in satelitskih telefonov, sedaj pa so nam povedali, da ni bo dovoljen niti predposnet radijski material o nepolitičnih temah, je o dogodku povedal BBC-jev novinar Charles Haviland. Do ukrepa je prišlo po tem, ko so Američana izgnali iz gore, ker so ga našli s tibetansko zastavo. Te so na tibetanski strani gore prepovedane. Nepalski uradnik je želel utemeljiti novo omejitev. »To počnemo za našo prijateljico Kitajsko,« je dejal."
Blair je pripadnik Anglikanske cerkve.,142,not_entailment,"Tony Blair, ki še ni dal uradnik komentarjev, je v BBC-jevem dokumentarcu prejšnji mesec povedal: »Saj veste, da ne moreš biti veren in da je to hkrati nepomemben vidik, saj je, to je nekaj globokega o tebi in o tebi kot o človeku.« Prav tako je dejal, da se je dotlej izogibal pogovorom o njegovih verskih mnenjih, saj se je bal, da bi ga označili za »norca«."
Pri potopu trajekta je življenje izgubilo 100 ali več ljudi.,143,entailment,"Potop trajekta 3. maja v reki Megna, ki je terjal življenje najmanj 370 ljudi, je opomnik, kakšne nevarnosti prežijo pri tovrstnem potovanju."
Holandski grofje so podpirali Sveti sedež.,144,not_entailment,"Grofje Holandije in Gelderna, med katerimi so se nahajali teritoriji škofov Utrechta, so prav tako želeli vpliv nad zapolnitvijo škofovskega sedeža. To je pogosto vodilo v spore in zato je Sveti sedež nemalokrat posredoval pri volitvah."
Uzbekistan zapira vojaško bazo Združenih držav.,145,entailment,"Višji ruski politik je pozdravil uzbekistansko odločitev, da zaprejo tamkajšnjo vojaško bazo Združenih držav, čeprav Moskva uradno zanika, da bi na države Srednje Azije izvajala pritisk, da izženejo ameriške sile."
"Kot odgovor na prošnje Mednarodne agencije za energijo, naj države članice sprostijo rezerve, je Kanada pripravljena pomagati.",146,not_entailment,"Mednarodna agencija za energijo, ki ima 26 članic, je v petek podali izjavo, da bodo države članice sprostile nafto, da bi pomagale pri lajšanju krize na področju goriv v ZDA, ki jo je povzročil hurikan Katrina."
"Najnovejši izsledki nasprotujejo študiji iz Kalifornije, ki je redno kajenje marihuane povezovala z občutno višjimi tveganji za rake glave in vratu.",147,entailment,"Nova študija spodbija prejšnje izsledke raziskovalcev z Univerze v Kalliforniji iz Los Angelesa, ki so dognali, da se možnosti za rake glave in vratu povečujejo s pogostostjo in trajanjem uživanja marihuane."
Poplavljanje v Evropi povzroča resne gospodarske izgube.,148,not_entailment,Poplave so med nabolj razširjenimi nesrečami v Evropi. Velika poplavljanja so se v zadnjih nekaj desetletjih nekje na naši celini zgodila skoraj vsako leto.
Osem ljudi je podtaknilo dve bombi blizu islamske šole v Pakistanu.,149,not_entailment,"Dve bombi, ki sta bili podtaknjeni blizu islamske šole v Pakistanu, sta včeraj v zadnjem izbruhi nasilja, ki vlada v pristanišču Karači na jugu države, ubili osem in poškodovali 42 ljudi."
Najprometnejša ura za taksi je ob 9. uri zvečer.,150,not_entailment,"Povprečen taksist dela devet ur in pol dnevno. Najprometnejše ure za taksi so med 6. in 8. uro zvečer. Čeprav je gospodarstvo v še globlji recesiji, pa je dnevno število prevozov s taksijem v New Yorku ostalo relativno stabilno.  To so najbolj slikoviti podatki o panogi rumenih taksijev, ki prihajajo iz zakladnice novih podatkov, ki jih je iz taksijev, opremljenih z novimi računalniškimi sistemi, ki beležijo vsako vožnjo in njeno ceno, zbrala Komisija za taksije in limuzine."
"Lahko surovo olje iz ZDA stane 1,27 $ na sodček.",151,not_entailment,"Gibanje cene lahkega surovega olja iz ZDA je bilo na New York Mercantile Exchange nepredvidljivo; sodček je dosegel ceno 44,50 $, potem pa se spustil nazaj na 44,10 $, kar je še vedno dobiček za 1,27 $."
Civic Alliance je krovna skupina.,152,entailment,"Civic Alliance, krovna skupina civilnih skupin, udeleženih v ponovni gradnji, je julija 2002 v mestni hiši gostila veliko javno srečanje za 5.000 ljudi, ki so ga naslovili »Poslušamo mesto«."
Sedež STO je v Bonnu.,153,not_entailment,"Prav tako ni jasno, ali bo podpora ZDA Nemčiji, ki podpira Bonn kot sedež STO, dejansko nagnila tehtnico v tisto stran."
"Renminbi juan je valuta, ki se uporablja na Kitajskem.",154,entailment,"Valuta, ki se uporablja na Kitajskem, je renminbi juan."
Vzniknilo je več novih političnih strank.,155,entailment,"Političnim strankam v PNG primanjkije ideološkega prepričanja in se skoraj popolnoma zanašajo na politična pokroviteljstva, personalizem in regionalne baze. V politiki Papue Nove Gvineje je vzniknilo več strank. V skupščini, izvoljeni leta 1973, je stranka Pangu Pati pod vodstvom Michaela Somareja oblikovala koalicijsko vlado z Ljudsko napredno stranko in Somare je postal premier."
Uvedba evra je naletela na nasprotovanje.,156,not_entailment,V roku šestih mesecev po uvedbi evrskih bankovcev in kovancev bo evro popolnoma zamenjal državne valute.
Google bi lahko na Nasinem zemljišču zgradil kampus.,157,entailment,"Google in NASA sta v sredo oznanila delovni sporazum, po katerem bi lahko spletni mogotec zgradil do miljon kvadratnih čevljev velik kompleks na zemljišču, ki je v lasti Nase ob Moffett Fieldu blizu mesta Mountain View."
CIA je leta 2003 ugrabila Osamo Nasrja.,158,entailment,"Hassana Mustafo Osamo Nasrja, muslimanskega klerika, znanega tudi kot Abu Omar, je 17. februarja 2003 v Milanu prijela ekipa pod vodstvom agencije CIA, ki naj bi ga z vozilom prepeljala v letalsko bazo Aviano blizu Benetk, od tam pa nato do letalske baze Ramstein v Nemčiji in nazadnje v Egipt. Iz zapora so ga spustili v nedeljo in pravi, da bi se rad vrnil v Italijo. Prav tako je povedal, da so ga mučili z elektrošoki, pretepali, mu grozili s posilstvom in pohabljenjem genitalij ter da »je zaradi tega postal človeška razvalina«."
Akbar Hašemi Rafsandžani je predsednik.,159,entailment,"V soboto so volilni uradniki povedali, da bodo v Iranu potekale prve odločilne predsedniške volitve v zgodovini: med predsednikom Akbarjem Hašemijem Rafsandžanijem in nepopustljivim županom Teherana."
Kim Ledger je bil Heathov sin.,160,not_entailment,"Potekala je spominska slovesnost za avstralskega igralca Heatha Ledgerja, ki je umrl 22. januarja v New Yorku. Od znanega igralca so se poslovile znane osebnosti iz Hollywooda in mnogi drugi zvesti oboževalci. Njegovo smrt je mrliški oglednik mesta New York označil za nasrečo, pripisal pa jo je toksični zmesi zdravil na recept in sredstev proti bolečini. Zvezdnik je umrl prejšnji mesec v svojem stanovanju na Manhattnu. Slovesnost je potekala v Penrhos College v avstralskem Perthu, udeležilo pa se je je več kot 100 ljudi, čeprav se je dejanskega pogreba udeležila le Ledgerjeva ožja družina. Pred pogrebom je Heathov oče, Kim Ledger, dejal, da bo »pogreb zelo zelo zaseben; tam bo le 10 ljudi, neposredna družina in nihče drug.«"
Žarki gama so oblika elektromagnetnega sevanja.,161,not_entailment,"Izbruhi žarkov gama so med najmočnejšimi predmeti, ki jih je moč videti v vesolju; označevali naj bi nastanek črnih lukenj. Swift je zasnovan, da izbruhe zazna in se avtomatsko reorientira tako, da zbira podobe in podatke o fenomenu."
Izbruh epidemije ebole v Zairu.,162,not_entailment,"Identificirani so štirje podtipi virusa ebole. Trije od štirih so povzročitelji bolezni pri ljudeh: ebolavirus zaire, ebolavirus sudan in ebolavirus slonokoščena obala. Četrti, ebolavirus reston je povzročitelj bolezni pri nečloveških primatih, ne pa pri ljudeh."
Lakers so osvojili prvenstvo.,163,not_entailment,Los Angeles Lakers so v sredini otvoritveni tekmi finala lige NBA povotili moštvo Indiana Pacers.
Delež zemeljskega plina v izraelskem energetskem sistemu trenutno znaša zgolj en odstotek.,164,entailment,Izrael namera povečati delež plina v energetski bilanci s trenutnega 1 odstotka na 25 odstotkov do leta 2025.
Rastline poleg zemlje rastejo tudi v drugih snoveh.,165,entailment,"Nekateri ljudje morda mislijo, da se rastlin ne da gojiti drugje kot v zemlji, a obstaja še ena pot."
