idx,choice1,choice2,premise,question,label
259,Moja družina je organizirala pogreb.,Moja družina je organizirala obletnico.,Moja babica je umrla.,effect,0
260,Zvezdnik je policistu ponudil podkupnino.,Zvezdnik je tožil policista.,Policist je ustavil zvezdnika.,effect,0
261,Zaupal je terapevtu.,Ni se strinjal s terapevtom.,Moški je terapevtu zaupal osebne informacije.,cause,0
262,Napadalec ga je udaril po glavi.,Napadalec mu je vzel denarnico.,Moški se je onesvestil.,cause,0
263,Zdel se je zaposlen.,Bil mi je znan.,Stopil sem k njemu.,cause,1
264,Boril se je za odpravo revščine.,Dvignil je davke.,Voditelj je požel pohvale.,cause,0
265,Srkal je kavo.,Zahahljal se je.,Prebral je karikaturo v časopisu.,effect,1
266,Pokrov na nabiralniku se je pokvaril.,Šel sem na počitnice za dva tedna.,Moj nabiralnik je bil nabito poln.,cause,1
267,Zmečkali smo jih.,Pojedli smo jih.,Banane so dozorele.,effect,1
268,Testo se je drobilo.,Testo se je sploščilo.,Pek je pritisnil na testo.,effect,1
269,Lončar je zvil glino v kroglo.,Lončar je dal glino v pečico.,Glina se je strdila.,cause,1
270,Šel sem v hribe.,Šel sem plavat.,Dobil sem žulje na nogah.,cause,0
271,Prijateljica ji je poslala voščilnico.,Prijateljica je prekinila stike z njo.,Izdala je svojo prijateljico.,effect,1
272,Zavohal je njen parfum.,Bil je obrnjen s hrbtom proti njej.,Opazil jo je.,cause,0
273,Nehala sta se videvati.,Načrtovala sta skupne počitnice.,Sprla se je s fantom.,effect,0
274,Nasilnež je pobral sošolca.,Nasilnežev sošolec se je spotaknil.,Nasilnež je nastavil nogo sošolcu.,effect,1
275,Podtaknil je zločin svojemu sovražniku.,Razglasil je premirje s sovražnikom.,Hotel se je maščevati svojemu sovražniku.,effect,0
276,Nehalo se mi je zehati.,Zadremal sem.,Spil sem skodelico kave.,effect,0
277,Bila si je blizu s svojo sestro.,Bila je podobna sestri.,Zamenjali so jo za sestro.,cause,1
278,Preveril je svoje delo.,Pri delu se mu je mudilo.,Zmotil se je pri izračunih.,cause,1
279,Ležala je ob bazenu.,Vstopila je v savno.,Zameglila so se ji očala.,cause,1
280,Pogledal je listek s ceno.,"Odločil se je, da ga kupi.",Kupca je zanimala cena izdelka.,effect,0
281,Tekmovalec je vodil.,Tekmovalec je pritisnil na gumb.,Voditelj oddaje je prosil tekmovalca za odgovor.,cause,1
282,Prižgal je nočno lučko.,Gledal je grozljivko.,Dečka je bilo strah iti spat.,cause,1
283,Obiskala je bolnišnico.,Študirala je medicino.,Hotela je biti zdravnica.,effect,1
284,Posnel jo je.,Ugasnil jo je.,Dečku se je zdela televizijska oddaja dolgočasna.,effect,1
285,"Svetoval sem ji, naj globoko diha.",Peljal sem jo na urgenco.,Hči je imela alergično reakcijo.,effect,1
286,Ni hotel nositi srajce.,Prosil je mati za pomoč.,Deček je imel težave z zapenjanjem srajce.,effect,1
287,Iz žvečilnega gumija sem naredil mehurček.,Žvečilni gumi je izgubil okus.,Izpljunil sem žvečilni gumi.,cause,1
288,Njegova mama je sliko obesila na steno.,Njegova mama je sliko prodala galeriji.,Deček je naslikal sliko za svojo mamo.,effect,0
289,Ekipi sta bili vznemirjeni.,Člani ekipe so si segli v roke.,Tekmovanje se je končalo.,effect,1
290,Bila je vegetarijanka.,Rada je imela hitro hrano.,Dekle je vljudno odklonilo hamburger.,cause,0
291,Znebil sem se madeža.,Zamazal sem tla.,Zdrgnil sem madež s tal.,effect,0
292,Spel sem jih s sponkami.,Spravil sem jih na varno.,Dokumenti so vsebovali pomembne informacije.,effect,1
293,Padlo mi je.,Skuhal sem ga.,Jajce se je razbilo.,cause,0
294,Prijatelj se je začel dušiti.,Prijatelj je padel.,Dekle je porinilo prijatelja.,effect,1
295,Gostitelj jih je vrgel ven.,"Gostitelj jih je povabil, naj vstopijo.",Skupina najstnikov je nepovabljena prišla na zabavo.,effect,0
296,Bil je poten od telovadbe.,Odprl je nov kos mila.,Stuširal se je.,cause,0
297,Garancija na prenosnem računalniku je potekla.,Baterija na prenosnem računalniku se je izpraznila.,Zaslon na prenosnem računalniku se je stemnil.,cause,1
298,Po njej je bil posnet film.,Avtor je poniknil v pozabo.,Knjiga je postala velika uspešnica.,effect,0
299,Prebolel je raka.,Njegovi ženi so diagnosticirali raka.,"Bil je hvaležen, da je živ.",cause,0
300,Najraje je plačevala z gotovino.,Prejela je mesečni račun.,Napisala je ček energetskemu podjetju.,cause,1
301,V svojem trenutnem poklicu je veliko zaslužila.,V svojem trenutnem poklicu je bila pod velikim stresom.,Ni hotela zamenjati kariere.,cause,0
302,Klical jo je.,Zasledoval jo je.,Proti njemu je vložila zahtevo za prepoved približevanja.,cause,1
303,Plavalci so se dodatno namazali s sončno kremo.,Plavalci so zaplavali nazaj proti obali.,Morski tok je bil nevaren.,effect,1
304,"Tisti večer ni pila, ker je vozila.",Poznala je točaja.,Odklonila je drugo pivo.,cause,0
305,Dolgo sem hodil po stopnicah navzgor.,Prebral sem več poglavij knjige.,Bil sem zadihan.,cause,0
306,Poslali so jo v psihiatrično ustanovo.,Hotela je postati psihiatrinja.,Razglasili so jo za duševno bolno.,effect,0
307,Pogledala je na uro.,Slekla si je pulover.,Izza oblakov se je pokazalo sonce.,effect,1
308,"Zavpil je vsakič, ko je igralec izgubil žogo.","Zažvižgal je vsakič, ko je igralec dal gol.",Nogometni trener je po tekmi izgubil glas.,cause,0
309,Kihnil je.,Zardel je.,Dala mu je kompliment.,effect,1
310,Zacelila se je.,Nehala je krvaveti.,Pritisnil sem na ureznino na roki.,effect,1
311,Jemala je antibiotike.,Umivala si je roke.,Imela je vnetje.,effect,0
312,Stopila je v stik s svojim odvetnikom.,Odpovedala je svoje sestanke.,Dobila je poziv za sodelovanje v poroti.,effect,1
313,Namestila je klimo v sobi.,Klima v sobi se je pokvarila.,Pahljala se je z roko.,cause,1
314,Bila je hudo obtolčena.,Bila je hudo okužena.,Zdravniki so amputirali pacientovo nogo.,cause,1
315,Bilo ji je nerodno.,Ogledalo je bilo zamazano.,Dekle je strmelo vase v ogledalu.,cause,0
316,Šel je kampirat v gozd.,Zaspal je na kavču.,Popikali so ga komarji.,cause,0
317,Njen brat ni hotel sprejeti darila.,Njen brat je odvil darilo.,Dala je darilo svojemu bratu.,effect,1
318,Sestanek so prestavili.,Sestanek se je začel.,Upravnik se je odkašljal.,effect,1
319,Jedli so lučke.,Bilo jim je vroče.,"Otroci so tekli skozi vodo, ki jo je pršil pršilnik.",cause,1
320,Iskal je drobiž pod sedeži avtomobila.,Ljudi na cesti je prosil za drobiž.,Rabil je kovance za parkomat.,effect,0
321,Prodajalec mu ga je prodal.,Pogajal se je s prodajalcem.,"Stranka je menila, da je spominek predrag.",effect,1
322,Odkrila je novo vrsto.,Postala je stalna profesorica na univerzi.,Znanstvenica je dobila priznanje.,cause,0
323,Pešec je prečkal cesto.,Pešeč je čakal na pločniku.,Avto se je ustavil na prehodu za pešce.,effect,0
324,Brat ga je žgečkal.,Brat ga je brcnil.,Deček se je nekontrolirano hihital.,cause,0
325,Prijel sem se za ograjo.,Ograja se je odtrgala od stene.,Na stopnicah so se mi zašibila kolena.,effect,0
326,Noč je bila jasna.,Bilo je pozno.,Šel sem spat.,cause,1
327,Odložil sem jo pred bolnišnico.,Prinesel sem ji voščilnico in rože.,Prijateljica je okrevala po operaciji.,effect,1
328,Ljudje so zapuščali zabavo.,Ljudje so začeli plesati.,DJ je začel vrteti glasbo.,effect,1
329,Varnostna kamera ni bila izostrena.,Opazil je sumljivo dogajanje.,Varnostnik je zavrtel posnetek.,cause,1
330,Bil sem lačen.,Bila je sobota.,"Poležaval sem v postelji, ko sem se zbudil.",cause,1
331,Pretegnil si je hrbet.,Opraskal si je hrbet.,Dvignil je težko škatlo.,effect,0
332,V njej je bilo veliko krame.,Pustila jo je brez nadzora.,Njena torbica je izginila.,cause,1
333,Imela je alergično reakcijo.,Imela je prometno nesrečo.,Izgubila je spomin.,cause,1
334,Šel sem na banko.,Kupil sem denarnico.,Rabim gotovino.,effect,0
335,Bik je vrgel jezdeca.,Bik je tekel za jezdecem.,Jezdec je padel na tla.,cause,0
336,Dvigal je uteži.,Igral je računalniške igrice.,Fant je hotel dobiti mišice.,effect,0
337,Potrdila je svojo teorijo.,Ponaredila je podatke.,Znanstvenica je izvedla poskus.,effect,0
338,Bilo je pasterizirano.,Hranil sem ga v hladilniku.,Mleko je ostalo hladno.,cause,1
339,Starša sta rožljala z ropotuljo pred dojenčkom.,Starša sta izbrala ime za dojenčka.,Sitni dojenček se je umiril.,cause,0
340,Juha se je ohladila.,Juha se je zgostila.,V vročo juho sem dal kocke ledu.,effect,0
341,Prijatelj je pozabil prinesti svoje kosilo.,Prijatelj je sedel poleg nje pri kosilu.,Dekle je delilo svoje kosilo s prijateljem.,cause,0
342,Prijeli so osumljenca.,Žrtev si je opomogla.,Policija je zaključila preiskavo.,cause,0
343,Šel sem na sprehod.,Brskal sem po spletu.,Dež je ponehal.,effect,0
344,Popihal sem ga.,Zlil sem ga stran.,Čaj je bil zelo vroč.,effect,0
345,Bila je ponarejena.,Bila je stara.,Fotografija je zbledela.,cause,1
346,Nasilnež se je posmehoval dečku.,Nasilnež je udaril dečka.,Deček je dobil podpluto oko.,cause,1
347,Našel sem svoj telefon.,Šel sem po isti poti nazaj.,Izgubil sem denarnico.,effect,1
348,Nabil je pištolo.,Pomeril je v jelena.,Lovcu je zmanjkalo streliva.,effect,0
349,Ladje so plule po oceanu.,V ocean se je razlila nafta.,Število morskih organizmov se je zmanjšalo.,cause,1
350,Ledena kocka se mi je prilepila na prste.,Ledena kocka je izginila.,Ledeno kocko sem podržal pod toplo vodo.,effect,1
351,Denarnico je pustila doma.,Izložba je pritegnila njen pogled.,Stranka je vstopila v butik.,cause,1
352,Jed se mu je shladila.,Jed je bila pekoča.,Ob jedi je pil vodo.,cause,1
353,Bila je kužna.,Bila je pijana.,Izogibala se je javnim prostorom.,cause,0
354,Z roko sem si pokril nos.,Nataknil sem si gumijaste rokavice.,V sobi je bil odvraten smrad.,effect,0
355,Družina je stopila v stik z njo.,Umrl je član njene družine.,Delavke ni bilo v službo.,cause,1
356,Sponka je padla z magneta.,Sponka se je držala magneta.,Magnet je privlačil sponko.,effect,1
357,Iz tal je pogledal plevel.,Plevel je tvoril semena.,Vrtnar je pulil plevel.,effect,0
358,Dostava pice je prispela.,Pica se je shladila.,Naročili smo pico.,effect,0
359,Zelo je zrasel.,Pridružil se je košarkarski ekipi.,Najstnik je bil višji od očeta.,cause,0
360,Poseg je bil drag.,Specialisti so priporočali poseg.,Pacient je šel na tvegan poseg.,cause,1
361,Preskočil je ograjo.,Rokav se je raztrgal.,Njegov rokav se je ujel na ograji.,effect,1
362,Pustil je sporočilo.,Imel je otroke.,Preiskovalci so njegovo smrt razglasili za samomor.,cause,0
363,Naredil sem varnostno kopijo datotek.,Naložil sem si virus.,Računalnik se je zrušil.,cause,1
364,Izpadel ji je zob.,Pogoltnila je žvečilni gumi.,Usta so jo bolela.,cause,0
365,Dvignil sem senčila.,Opral sem okna.,V sobi je bilo temno.,effect,0
366,Naučila se je hoditi.,Naveličal se jo je nositi.,Oče je dal hčerko v voziček.,cause,1
367,Vohun je na sovražnikov telefon namestil prisluškovalno napravo.,Vohuna je najela vlada.,Vohun je odkril sovražnikovo lokacijo.,cause,0
368,Otrok je risal po mizi.,Otrok je potegnil prt.,Kozarci na mizi so se polili.,cause,1
369,Čajnik se je ohladil.,Čajnik je zapiskal.,Voda v čajniku je zavrela.,effect,1
370,Mestni proračun se je zmanjšal.,Župan je izpolnil svoje obljube.,Župan mesta je bil ponovno izvoljen.,cause,1
371,Želela si je pozornosti.,Bila je sramežljiva.,Pretiravala je glede podrobnosti zgodbe.,cause,0
372,Upokojila se je.,Šla je skakat s padalom.,Doživljala je krizo srednjih let.,effect,1
373,Hitro jo je prebolel.,Ni hotel govoriti o njej.,Bil je v zanikanju glede tragedije.,effect,1
374,Žena ga je kritizirala.,Umrla mu je mama.,Žaloval je.,cause,1
375,Posvojila je zapuščenega psa.,Ugriznil jo je pes.,Imela je strah pred psi.,cause,1
376,Udeležil sem se tečaja joge.,Kupil sem sadje in zelenjavo.,"Obljubil sem si, da bom začel jesti zdravo.",effect,1
377,Doživel je čustveno travmo.,Utrpel je možganske poškodbe.,Pacient je padel v komo.,cause,1
378,Pogovor je potihnil.,Izbruhnila je debata.,Pogovor ob prijateljski večerji je nanesel na politiko.,effect,1
379,Pomahala je.,Pobegnila je.,Zagledala je prijateljico na drugi strani sobe.,cause,0
380,Otroke je poslala v dnevno varstvo.,Odrekla se je skrbništvu nad otroci.,Mama je potrebovala pomoč pri varstvu otrok.,effect,0
381,Drug avtomobil je zapeljal na njen pas.,Na semaforju je zavila desno.,Voznica je zahupala.,cause,0
382,Z varčevalnega računa je dvignil denar.,Odpovedal se je nepotrebnim nakupom.,Hotel je prihraniti nekaj denarja.,effect,1
383,Po tleh so bili kosi stekla.,Barva na stenah je bila mokra.,Obul sem čevlje.,cause,0
384,Knjižničarja sem prosil za pomoč.,Knjiga je bila izposojena.,Knjižničar je našel knjigo v enem izmed kupov.,cause,0
385,Počepnila je.,Prijela ga je za roko.,Mati si je bila iz oči v oči s sinom.,cause,0
386,Iskal sem novo stanovanje.,Selil sem se iz stanovanja.,Spakiral sem svoje stvari.,cause,1
387,Deček se je zgledoval po svojem starejšem bratu.,Deček se je ravsal s svojim starejšim bratom.,Deček je oponašal svojega starejšega brata.,cause,0
388,Pobegnila je od doma.,Spoštovala je pravila svojih staršev.,Dekle si je želelo odobravanja svojih staršev.,effect,1
389,Motorist je umrl.,Most se je zrušil.,Tovornjak se je zaletel v motorista na mostu.,effect,0
390,Njihova prodaja je padala.,Podaljšali so najemno pogodbo.,Trgovina se je zaprla.,cause,0
391,Osvojila je zlato medaljo.,Njena ekipa je izgubila srečanje.,Plavalka je zmagala na tekmovanju.,effect,0
392,Tovarne so povečale proizvodnjo.,Tovarne so se zaprle.,Onesnaženost zraka v mestu se je poslabšala.,cause,0
393,Njena hči je rignila za mizo.,Njena hči je pogrnila mizo.,Mama je okarala hčer.,cause,0
394,Ugasnil sem telefon.,Zazvonil mi je telefon.,Opravičil sem se skupini in šel stran.,cause,1
395,Izgubila je smučarske palice.,Naletela je na zaplato ledu.,Smučarki je spodrsnilo na smučišču.,cause,1
396,Nadel si je očala.,Iz žepa je vzel nalivnik.,Črke v brošuri so bile majhne.,effect,0
397,Svetloba je oslabela.,Luč je utripala.,Preklapljal sem stikalo.,effect,1
398,Čakal je na avtobusni postaji.,Neznanca je vprašal za uro.,Njegova ura je bila pokvarjena.,effect,1
399,Bili so opremljeni s puškami.,Nosili so kamuflažne uniforme.,Vojaki so se skrivali v grmovju.,cause,1
