idx,label,passage,question
65,True,"Lex Luthor (Smallville) -- V sedmi sezoni serije vidimo, kako se Lex prepusti temni strani; Lex in Grant Gabriel (Michael Cassidy), novi urednik pri Daily Planetu, sta si kot brata, dokler ni razkrito, da je Grant pravzaprav klon Lexovega pokojnega brata. Ko Lex kupi Daily Planet, želi Grant Lexu preprečiti, da bi bil tako oblasten, zato Lex naroči umor bratovega klona in ga prikaže kot nesrečo ob ropu. Lex nato odkrije, da so prejšnji simboli povezani s skrivno organizacijo Veritas, katere član je tudi njegov oče. Člani organizacije Veritas so izvedeli, da bo v Smalllville z meteorskim dežjem leta 1989 prišel nezemeljski obiskovalec, znan kot »Popotnik«. Takrat Lex ugotovi, da Lionel prikriva Popotnikov obstoj in posledično ubije svojega lastnega očeta. Sčasoma odkrije, da so člani organizacije Veritas vedeli, s čim lahko nadzirajo Popotnika, zato se Lex odloči, da bo našel to napravo. Lex na polički nad kaminom v Luthorjevi graščini najde napravo, kroglo, ki ga popelje do Trdnjave samote, kjer se z njim sooči Clark. Ko končno odkrije Clarkovo skrivnost, Lex s kroglo zruši Trdnjavo samote, ki ju s Clarkom obkroža.","Ali Lex Luthor ve, kdo je Superman v Smallvillu?"
67,True,"Iron Fist (2. sezona) -- Druga sezona ameriške spletne televizijske serije Iron Fist, ki temelji na istoimenskem liku iz stripa izdajatelja stripov Marvel Comics, govori o Dannyju Randu/Iron Fistu, mojstru borilnih veščin. Dogaja se v Marvelovem filmskem univerzumu (MCU) in je povezana z drugimi filmi in serijami te franšize. Sezono producira podjetje Marvel Television v sodelovanju z ABC Studios, kreativni vodja pa je Raven Metzner.",Ali bo druga sezona Marvelove serije Iron Fist?
73,True,"Neprebojno steklo -- Neprebojno steklo je steklo ali nadomestek stekla, ki ni tako krhko kot steklo - navadno se ta izraz ne uporablja za nekaj, kar je popolnoma neprebojno.",Ali obstaja neprebojno steklo?
74,True,"Tekoči lateks -- Ko se lateks suši, postane zelo lepljiv in se sprime, če ga nenamerno prepognemo. Večina proizvajalcev ponuja pršilo za lateks, ko je ta enkrat suh, da postane manj lepljiv, in s tem omogoči modelu premikanje udov. Po posušenem lateksu lahko potresemo lesketajoči puder in s tem ustvarimo kovinski učinek. Ena od prednosti lepljivosti tekočega lateksa je, da ga lahko uporabimo kot lepilno sredstvo, da na barvo pritrdimo stvari, na primer zadrge.",Ali se lahko tekoči lateks uporablja kot lepilo?
78,True,"Portoriko -- Portoriko (tudi Puerto Rico) (v španščini »bogato pristanišče«), z uradnim nazivom Svobodna pridružena država Portoriko (v španščini Estado Libre Asociado de Puerto Rico, dobesedno »Svobodna pridružena država Portoriko«), ki je bil kratek čas poimenovan Porto Rico, je nevključeni teritorij Združenih držav Amerike in se nahaja v severovzhodnem Karibskem morju.",Ali Portoriko spada pod Združene države?
80,True,"Seznam igralcev z največ goli v igri nogometa -- Trenutni svetovni rekorder v mednarodnem nogometu je Archie Thompson, ki je zadel 13 golov proti Ameriški Samoi, ko je na kvalifikacijah na svetovnem pokalu FIFA leta 2002 Avstralija zmagala z 31 : 0.  Na tej isti tekmi je David Zdrilic zadel 8 golov.",Ali je kdo zadel več kot 6 golov na eni tekmi?
81,True,"Pasji mladički -- Pasji mladički se skotijo s popolnoma delujočim vohom, ne morejo pa odpreti oči. V prvih dveh tednih se čuti mladičev razvijejo zelo hitro. V tej fazi psički nos uporabljajo kot primarno čutilo, da najdejo materine seske in druge pse iz istega legla, če se ločijo in niso predaleč. Psički odprejo oči približno devet do enajst dni po skotitvi. Najprej so njihove mrežnice slabo razvite in slabo vidijo. Pasji mladički ne vidijo tako dobro kot odrasli psi. Poleg tega začnejo njihova ušesa delovati približno trinajst do sedemnajst dni po skotitvi, takrat pa se tudi bolj aktivno odzivajo na zvoke. Ko dosežejo dva do štiri tedne, začnejo psički navadno renčati, gristi, mahati z repki in lajati.","Ali pasji mladički vidijo takoj, ko odprejo oči?"
86,False,"Pšenična moka -- Poznamo tri glavne vrste moke, ki se razlikujejo glede na to, iz katerega dela zrna so narejene -- endosperm vsebuje veliko beljakovin in škroba, kalček je bogat z beljakovinami/maščobo/vitamini, otrobi pa so polni vlaknin. Bela moka je narejena samo iz endosperma. Rjava moka vsebuje nekaj kalčkov in otrobov zrna, polnozrnata moka pa je narejena iz celotnega zrna, torej iz otrobov, endosperma in kalčkov. Kalčna moka je narejena iz endospema in kalčka brez otrobov.",Ali sta pšenična moka in bela moka ista stvar?
87,True,"Ostani z menoj (film) -- Po vrsti nesreč in samorazodetij fantje najdejo truplo. A tamkajšnji razbojnik »Ace« Merrill in njegova tolpa, v kateri je tudi Chrisov starejši brat »Eyeball« Chambers, pridejo, da bi si prilastili truplo in zasluge za odkritje trupla. Chris tega ne dopusti, Ace izvleče žepni nož, da bi ga ubil, vendar se vmeša Gordie s pištolo, ki jo je ukradel Chris. Ace in njegova tolpa odidejo in Ace napove maščevanje.",Ali najdejo truplo v filmu Ostani z menoj?
88,False,"Stoletna vojna -- Zaradi nekaj velikih zmag Anglije v vojni -- posebno v Crécyju, Poitiersu in Agincourtu -- se je obetala končna angleška zmaga, kar je Angleže prepričalo v to, da so še desetletja v vojno vlagali denar in vojaško osebje. Vendar pa je imela francoska monarhija več sredstev, kar je angleškim kraljem preprečilo, da bi kdaj dokončno osvojili Francijo. Leta 1429 se je z odločilnimi francoskimi zmagami v Orléansu, Patayu, Formignyju in Castillonu vojna končala v prid rodbine Valois, s čimer je Anglija na celini za stalno izgubila večino svojih posesti.",Ali so Angleži zmagali v stoletni vojni?
91,True,"Postaja 19 -- Postaja 19 je ameriška akcijsko-dramska serija, ki jo je za ABC ustvarila Stacy McKee. Izvršni producenti serije, ki je že druga izpeljanka serije Talenti v belem, so Stacy McKee, Shonda Rhimes, Betsy Beers in Paris Barclay Serija, ki se odvija v Seattlu, prikazuje življenja moških in žensk na seattelski gasilski postaji 19. Serijo producirata podjetji Shondaland in ABC studios, McKee pa je glavna kreativna vodja.",Ali je Postaja 19 izpeljanka Talentov v belem?
92,True,"Razhudnikovke -- Razhudnikovke (znanstveno ime Solanaceae) so gospodarsko pomembna družina kritosemenk. V družino spadajo razne rastline od enoletnih do trajnih zelišč, ovijalk, lian, epifitov, grmovnic in dreves, vključno z mnogimi pomembnimi poljščinami, zdravilnimi rastlinami, začimbami, plevelom in okrasnimi rastlinami. Mnogo rastlin iz družine vsebuje močne alkaloide, nekateri so zelo strupeni, vendar pa se jih mnogo, vključno s paradižnikom, krompirjem, jajčevcem, papriko, čiliji in tobakom, vsesplošno uporablja. Družina spada v red Solanales, v skupino asterid in razred Magnoliopsica (dvokaličnice). Med razhudnikovke spada okoli 98 rodov in približno 2700 vrst, ki se med seboj zelo razlikujejo glede na habitat, morfologijo in ekologijo.",Ali paradižnik spada med razhudnikovke?
94,False,"Maček v klobuku -- Zgodba se začne, ko dekle po imenu Sally in njen brat, ki je v knjigi pripovedovalec, nekega hladnega deževnega dne sama sedita doma in otožno strmita skozi okno. Naenkrat slišita glasen ropot, kmalu pa se prikaže Maček v klobuku, velik človeku podoben maček z rdeče-belim črtastim klobukom in rdečim metuljčkom. Maček se ponudi, da bi otroka zabaval s triki, ki jih pozna. Ribica, ki jo imata otroka kot hišnega ljubljenčka, temu nasprotuje in vztraja, naj Maček odide. Maček pa se odzove tako, da postavi ribo na konico svojega dežnika in jo poskuša držati v ravnotežju. Igra se še dodatno zaplete, ko Maček poskusi obdržati ravnotežje na žogi in na svojih okončinah uravnotežiti mnogo predmetov iz gospodinjstva, dokler ne pade na glavo in izpusti vse, kar je držal. Riba ga ponovno posvari, vendar Maček v klobuku le predlaga drugo igro.",Ali ima Maček v klobuku ime?
95,True,"Rudy Ruettiger -- Daniel Eugene »Rudy« Ruettiger (rojen 23. avgusta 1948) je motivacijski govornik, ki je igral ameriški nogomet na Univerzi Notre Dame. Njegovo zgodnje življenje in kariera pri Notre Damu sta bila navdih za film Rudy iz leta 1993.",Ali film Rudy temelji na resnični zgodbi?
98,True,"Posovjetske države -- Posovjetske države, ki so skupaj znane kot nekdanja Sovjetska zveza ali nekdanje sovjetske republike, so države, ki so nastale ali ponovno nastale iz Zveze sovjetskih socialističnih republik ob njenem razpadu leta 1991, Rusija pa je bila mednarodno priznana kot država naslednica Sovjetske zveze po hladni vojni. Baltske države so prve razglasile svojo neodvisnost od Rusije med marcem in majem 1990 ter zahtevale kontinuiteto izvirnih držav, ki so obstajale pred priključitvijo Sovjetski zvezi leta 1940. Nato se je odcepilo še preostalih 12 republik. 12 od 15 držav, brez baltskih držav, se je najprej združilo v Skupnost neodvisnih držav (CIS), večina se jih je pridružila Organizaciji pogodbe o kolektivni varnosti (CSTO), baltske države pa so se usmerile v članstvo v Evropski uniji in Natu.",Ali se je nekdanja Sovjetska zveza razdelila na več držav?
103,False,"Denaturacija (biokemija) -- Denaturacija je proces, v katerem beljakovine ali nukleinske kisline izgubijo kvartarno strukturo, terciarno strukturo in sekundarno strukturo, ki jo imajo v nativni konformaciji, zaradi dodajanja stresa iz okolja ali dodajanja spojin, kot so močne kisline ali baze, koncentrirane anorganske soli, organskega topila (npr. alkohol ali kloroform), sevanja ali toplote. Če so denaturirane beljakovine v živi celici, to moti celično aktivnost in lahko vodi v celično smrt. Denaturacija beljakovin je tudi posledica celične smrti. Denaturirane beljakovine imajo lahko širok razpon značilnosti, od konformacijskih sprememb in izgube topnosti do agregiranja zaradi izpostavljenosti hidrofobnih skupin.  Denaturirane beljakovine izgubijo svojo 3D-strukturo in zato ne morejo delovati.",Ali lahko denaturirane beljakovine še vedno delujejo?
104,False,"Gora med nama (film) -- Gora med nama je ameriška drama iz leta 2017, ki jo je režiral Hany Abu Asad, napisala pa sta jo Chris Weitz in J. Mills Goodloe. Temelji na istoimenskem romanu iz leta 2011, ki ga je napisal Charles Martin. V glavnih vlogah vidimo Idrisa Elbo in Kate Winslet kot kirurga in novinarko, ki preživita letalsko nesrečo in sta skupaj s psom ujeta v divjini ameriškega gorstva High Uintas, poškodovana in v težkih vremenskih razmerah. Film je bil prvič predvajan 9. septembra 2017 na Mednarodnem filmskem festivalu v Torontu 2017, v kinematografe pa je v Združenih državah prišel 6. oktobra 2017, ko ga je izdalo podjetje 20th Century Fox.",Ali film Gora med nama temelji na resničnih dogodkih?
115,False,"Popaj -- V Disneyjevem in Touchstonovem filmu Kdo je potunkal Rogerja Zajca iz leta 1988 je nastopilo mnogo klasičnih risanih likov, nekateri kritiki pa so opazili, da v njem ni Popaja. Za Popaja (skupaj z Brutusom in Olivo) pa je bila dejansko predvidena vloga v filmu. A ker risanke o Popaju temeljijo na stripu, je Disney ugotovil, da morajo plačati licenčnino tako podjetju King Features Syndicate kot tudi podjetju MGM/UA. Zbirko podjetja MGM/UA izpred maja 1986 (v kateri je bil tudi Popaj) je takrat ravno kupovalo podjetje Turner Entertainment, kar je povzročilo nekaj pravnih komplikacij. Pravic ni bilo mogoče pridobiti in Popajeva vloga v filmu je odpadla.",Ali je Popaj Disneyjev lik?
116,True,"Seznam nagrad in nominacij, ki jih je prejel Tom Hanks -- Igralec in filmski ustvarjalec Tom Hanks je prejel mnogo nagrad in nominacij, vključno z dvema zaporednima oskarjema za filma Philadelphia (1993) in Forrest Gump (1994). Tom Hanks je dobil skupno 50 nagrad s tega seznama.",Ali je Tom Hanks kdaj dobil oskarja?
122,False,"Anafilaksija -- Anafilaksija je resna alergijska reakcija, ki nastopi hitro in lahko povzroči smrt. Navadno povzroči več naslednji simptomov: srbeč izpuščaj, zatekanje grla ali jezika, težko dihanje, bruhanje, vrtoglavico in nizek krvni tlak. Ti simptomi navadno nastopijo v nekaj minutah do nekaj urah.","Ali drži ali ne drži, da anafilaksija navadno prizadene samo kožo in oči?"
126,True,"Bojte se živih mrtvecev -- Bojte se živih mrtvecev je ameriška postapokaliptična grozljiva televizijska serija, ki sta jo ustvarila Robert Kirkman in Dave Erickson, premierno pa je bila predvajana 23. avgusta 2015 na programu AMC. Gre za sestrsko serijo in predzgodbo filma Živi mrtveci, ki temelji na istoimenski seriji stripov, ki so jo ustvarili Rober Kirkman, Tony Moore in Charlie Adlard.",Ali se Bojte se živih mrtvecev dogaja pred Živimi mrtveci?
131,False,"Let nad kukavičjim gnezdom (roman) -- Let nad kukavičjim gnezdom (1962) je roman, ki ga je napisal Ken Kesey. Pripoved se dogaja v psihiatrični bolnišnici v Oregonu in služi kot študija o institucionalnih procesih in človeškem umu, hkrati pa je tudi kritika behaviorizma in poklon individualističnim načelom. Dale Wasserman jo je leta 1963 priredil v broadwaysko (in kasneje off-broadwaysko) predstavo Let na kukavičjim gnezdom. Bo Goldman je leta 1975 roman priredil v film, ki ga je režiral Miloš Forman in je dobil pet oskarjev.",Ali Let nad kukavičjim gnezdom temelji na resnični zgodbi?
135,True,"Atenska demokracija -- Isti posameznik ni mogel biti dvakrat izžreban za opravljanje iste funkcije. Edina izjema je bila bule ali svet petstotih. V tem primeru je zaradi demografskih potreb posameznik lahko služil dvakrat v življenju. Ta princip je veljal tudi za tajnike in podtajnike, ki so služili kot pomočniki magistratom, kot so arhonti. Atenci se s tem niso želeli zavarovati pred nesposobnostjo, pač pa posameznikom preprečiti, da bi položaj izkoristili za kopičenje moči, ki so jo imeli.",Tekom življenja je lahko atenski državljan služil svetu petstotih
140,False,"Dunkirk (film iz leta 2017) -- Režiser Christopher Nolan je film zasnoval v sredini 90. let, ko sta s takrat bodočo ženo Emmo Thomas jadrala čez Rokavski preliv, kjer sta šla po poteh mnogih čolničev po evakuaciji v Dunkirku. Nolan je razmišljal o tem, da bi improviziral cel film, namesto da bi napisal scenarij, a ga je Emma Thomas prepričala v nasprotno. Leta 2015 je Nolan napisal 76 strani dolg scenarij, ki je približno pol krajši od njegovih običajnih scenarijev, in je do danes njegov najkrajši scenarij. Zaradi natančnega strukturiranja scenarija so se morali v zgodbi pojaviti izmišljeni liki, in ne liki, ki bi temeljili na pričah.",Ali film Dunkirk temelji na knjigi?
146,True,"Vodikov klorid -- Spojina vodikov klorid ima kemijsko formulo HCl in je vodikov halogenid. Na sobni temperaturi je brezbarven plin, ki ki ob stiku z vodno paro v atmosferi tvori belo paro klorovodikove kisline. Plin vodikov klorid in klorovodikova kislina sta pomembna na področju tehnologije in industrije. Klorovodikova kislina, vodna raztopina vodikovega klorida, ima pogosto tudi formulo HCl.",Ali bi bil vodikov klorid na sobni temperaturi plin?
393,False,"Mogočni Joe Young (film iz leta 1998) -- Mogočni Joe Young je pustolovski film, ki temelji na istoimenskem filmu iz leta 1949. Ta govori o ogromni gorski gorili, ki jo mlada ženska, ki jo je vzgojila, in zoolog pripeljeta v rezervat za divje živali v Los Angelesu, da bi jo zaščitila pred krivolovci, dokler se eden izmed njih ne odloči, da bo gorilo našel in se ji maščeval. Film je režiral Ron Underwood, v njem pa igrajo Bill Paxton, Chalize Teron ter John Alexander v preobleki v vlogi naslovnega lika. V tej različici je opica veliko večja kot v izvirniku. Film je zaslužil 50,6 milijona ameriških dolarjev v Združenih državah Amerike, produkcijski proračun pa je bil 90 milijonov ameriških dolarjev.",Ali film Mogočni Joe Young temelji na resnični zgodbi?
406,False,"Sedem (film iz leta 1995) -- Glavni navdih za scenarij filma je bil čas, ki ga je Andrew Kevin Walker preživel v New Yorku, ko je želel postati scenarist. »V New Yorku mi ni bilo všeč, drži pa, da verjetno ne bi napisal Sedem, če ne bi živel tam.« V vlogi detektiva Somerset si je zamislil igralca Williama Hurta, lik pa je poimenoval po svojem najljubšem avtorju, W. Somersetu Maughamu.",Ali film Sedem temelji na knjigi?
441,True,"Will Gardner -- Je Alicijin stari prijatelj, v pilotni epizodi ji pomaga dobiti službo pri družbi, ves čas se trudi, da ne bi izpadlo, kot da jo favorizira. To je še bolj zapleteno, ker drug do drugega nekaj čutita. Will in Alicia imata razmerje, ki se začne na koncu druge sezone. V tretji sezoni se razideta, ko izgine Alicijina hči in se Alicia odloči, da se mora bolj posvečati svojim otrokom. On je v seriji prikazan kot ženskar in je imel več afer in deklet. Will je v dobrem delovnem odnosu z Diane Lockhart, ki je njegova poslovna partnerica in soupraviteljica družbe, in skupaj pametno vodita posel tudi v težkih časih. Will redno igra amatersko košarko z drugimi odvetniki in sodniki, s katerimi se spoprijatelji, njihova prijateljstva pa se sčasoma preuči. V tretji sezoni je Will suspendiran in zaradi starega škandala s podkupnino pol leta ne sme delati kot odvetnik, a se v četrti sezoni ponovno vrne na delo pri družbi. V peti sezoni Alicia in Cary po dolgem načrtovanju zapustita družbo Lockhart in Gardner, da ustanovita svojo družbo, Will pa to izdajstvo vzame osebno. V 15. epizodi pete sezone ga v sodni dvorani ustreli njegova stranka Jeffrey Grant (igra ga Hunter Parrish), strel pa je zanj usoden.",Ali Will Gardner umre v Dobri ženi?
442,True,"Akvagena urtikarija -- Akvagena urtikarija, znana tudi kot alergija na vodo, je redko diagnosticirana oblike fizikalne urtikarije. Glavni simptom je srbečica kože, ki se pojavi zaradi stika z vodo, ne glede na njeno temperaturo. Včasih se jo opisuje kot alergijo, čeprav ni prava alergijska reakcija, pri kateri se sprošča histamin, kakor pri drugih oblika urtikarije. Kaže, da nanjo ne vpliva različna temperatura vode, denimo mrzla ali vroča, prav tako ne vplivajo kemikalije, kot so fluor ali klor, saj se pojavi tudi ob stiku z destilirano vodo ali fiziološko raztopino.",Ali obstaja alergija na vodo?
443,True,"Petdeset odtenkov svobode -- Petdeset odtenkov svobode je tretji in zadnji del v erotično-romantični trilogiji Petdeset odtenkov britanske avtorice E. L. James. Ko Anastasia Steele v filmu Petdeset odtenkov teme sprejme snubitev podjetnika in generalnega direktorja Christiana Greya, se mora privaditi na zakonsko življenje in na bogat način življenja ter oblastno naravo svojega novega moža. Žepna izdaja knjige je prvič izšla aprila 2012.",Ali obstaja 50 odtenkov sive 3?
449,False,"Lovorjev list -- Nekatere rastline iz družine lovorovk in tudi nesorodne, vendar po videzu podobni kalmija in lovorikovec, imajo liste, ki so strupeni za ljudi in živino. Teh rastlin se nikjer ne prodaja za kulinariko, a ker so na videz podobni lovorjevim listom, je prišlo do prepričanja, da je treba lovorjev list po kuhanju odstraniti, ker je strupen. To ne drži; lovorjevi list so varni za uživanje brez stranskih učinkov. A tudi po temeljitem kuhanju ostanejo neprijetno trdi in bi zaužitje celega lovorjevega lista ali večjih kosov lahko povzročilo tveganje za poškodbe prebavil ali davljenje. Obstajajo primeri predrtja črevesa zaradi zaužitja lovorjevega lista, zato bi bilo treba lovorjeve liste pred serviranjem hrane odstraniti, če v receptu niso zmleti, v nasprotnem primeru ostaja tveganje za nujni kirurški poseg.  Zato večina receptov, kjer se uporablja lovorjeve liste, priporoča, da se jih po kuhanju odstrani.",Ali se za kuhanje lahko uporablja liste vseh lovorjevih dreves?
453,False,"Otok Man -- Otok Man (angl. the Isle of Man, v manščini: Ellan Vannin ('?lj?n 'van?n); v angleščini znan tudi kot preprosto Mann (/man/ ali v manščini Mannin  ('man?n)) je pridruženo območje Britanske krone z notranjo samoupravo v Irskem morju med otokoma Velika Britanija in Irska. Vodja ozemlja je kraljica Elizabeta II., ki ima naziv Lord of Mann, njen predstavnik pa je namestnik guvernerja. Za obrambo skrbi Združeno kraljestvo.",Ali je Otok Man del Združenega kraljestva?
455,True,"Labirint (serija filmov) -- Prvi film, Labirint, je izšel 19. septembra 2014 in doživel velik uspeh ter je zaslužil več kot 348 milijonov ameriških dolarjev po svetu. Drugi film, Labirint: Pogorišče, ki je izšel 18. septembra 2015, je bil prav tako zelo uspešen in je po svetu prinesel več kot 312 milijonov ameriških dolarjev. Serija filmov se je zaključila s tretjim filmom, Labirint: Zaton, ki je izšel 26. januarja 2018.",Ali bo imel film Labirint nadaljevanje?
462,True,"Simbiotske bakterije -- Simbiotske bakterije so bakterije, ki živijo v simbiozi z drugim organizmom ali med seboj. Denimo bakterija Zoamastogopera, ki se nahaja v želodcih termitov, jim omogočijo, da prebavijo celulozo.",Ali so mikrobi lahko v simbiozi z drugimi mikrobi?
477,True,Šah-mat -- Z dvema tekačema in s pomočjo kralja ni težko izvesti šah-mata. Pri tem je treba upoštevati dve načeli:,Ali lahko narediš šah-mat z dvema tekačema in kraljem?
487,True,"Magične živali: Grindelwaldova hudodelstva -- Magične živali Grindelwaldova hudodelstva je prihajajoča fantazijska drama, ki jo je produciralo podjetje Heyday Films in distribuiralo podjetje Warner Bros. Pictures. Gre za britansko-ameriško koprodukcijo in je nadaljevanje filma Magične živali (2016). To bo drugi film v seriji filmov Magične živali in skupno deseti film franšize Wizarding World (Čarovniški svet), ki se je začel s serijo filmov Harry Potter. Film je režiral David Yates, scenarij pa je napisala J. K. Rowling. V filmu igrajo Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol, Ezra Miller, Johnny Depp, Jude Law, Zoë Kravitz, Callum Turner, Claudia Kim in Carmen Ejogo. Zgodba govori o Salamanderju Scamanderju in Albusu Dumbledorju, ki poskušata uničiti zlobnega čarovnika Gellerta Grindelwalda, medtem ko se soočata z novimi grožnjami v bolj razdvojenem čarovniškem svetu.",Ali ima film Magične živali nadaljevanje?
491,True,"Zvezda je rojena (film iz leta 2018) -- Ko je Bradley Cooper na festivalu Desert Trip videl nastopiti Lukasa Nelsona (sina pevca country glasbe Willieja Nelsona), je pristopil do njega in ga povabil, da bi pomagal pri filmu. Nelson je pristal in napisal več pesmi, ki jih je poslal producentom. Nelson je nato spoznal Lady Gago in skupaj sta začela pisati pesmi, ona pa je v zameno pela spremljevalne vokale na dveh pesmih na njegovem istoimenskem albumu iz leta 2017. Filmska glasba, ki sta jo posnela Lady Gaga in Bradley Cooper, je izšla 5. oktobra 2018, izdalo pa jo je podjetje Interscope Records. V studiu so naznanili, da je na albumu »19 skladb v najrazličnejših glasbenih stilih in 15 posnetkov dialogov, ki vas bodo popeljali na pot, ki je podobna doživetju ogleda filma«.",Ali je Bradley Cooper pel v filmu Zvezda je rojena?
495,True,"Tek -- Tek je način premikanja po zemlji, ki ljudem in drugim živalim omogoča hitro premikanje z nogami. Tek je način hoje, ki ga zaznamuje zračna faza, v kateri so vse noge nad tlemi (vendar pa obstajajo izjeme).  Po tem se razlikuje od hoje, pri kateri je ena noga vedno v stiku s tlemi, noge so večinoma iztegnjene, center težnosti pa se pomika od stojne noge ali nog v obliki obrnjenega nihala. Značilnost telesa v teku z vidika mehanike mase in vzmeti je, da se spremembe v kinetični in potencialni energiji v koraku zgodijo hkrati, k skladiščenju energije pa pripomorejo prožne tetive in pasivna elastičnost mišic. Pojem tek se lahko nanaša na vrsto hitrosti, od lahkega teka do šprinta.",Ali sta pri teku obe nogi v zraku?
498,True,"Mežikanje -- Nekatere živali, na primer želve in hrčki, mežikajo s posameznim očesom, neodvisno od drugega očesa. Ljudje uporabljajo pomežike oziroma mežikanje na eno oko za govorico s telesom.",Ali lahko mežikaš z enim očesom naenkrat?
505,False,"Zahodni Berlin -- 9. novembra 1989 je padel zid med obema deloma mesta, in dela sta bila ponovno fizično, a takrat še ne pravno gledano, združena. Obe nemški državi in štirje vojni zavezniki so podpisali Pogodbo dva plus štiri, ki je omogočila ponovno združitev Nemčije in konec okupacije Zahodnega Berlina s strani zahodnih zaveznikov. 3. oktobra 1990 -- na dan, ko je bila Nemčija uradno ponovno združena -- sta se Vzhodni in Zahodni Berlin formalno združila v mesto Berlin, ki se je nato pridružilo razširjeni Zvezni republiki kot mestna državica, podobno kot že obstoječi zahodnonemški mestni državici Bremen in Hamburg. Walter Momper, župan Zahodnega Berlina, je postal prvi župan ponovno združenega mesta.",Ali Vzhodni in Zahodni Berlin še obstajata?
516,True,"Sekvenca (glasba) -- Da prepoznamo sekvenco, sta potrebna vsaj dva primera sekvenčnega vzorca, vključno s prvotno pojavitvijo, vzorec pa naj bi temeljil na več tonih ali vsaj dveh sekvenčnih harmonijah (akordih). Čeprav se ta postopek sicer stereotipno povezuje z baročno glasbo, posebno z glasbo Antonia Vivaldija, se pravzaprav pogosto pojavlja v zgodovini zahodne glasbe.","Sekvenca se pojavi, ko je se ponovi vzorec tonov."
517,False,"Vanilijin sladkor -- Vanilijin sladkor je narejen iz sladkorja in strokov vanilije ali iz sladkorja, mešanega z izvlečkom vanilije.",Ali je vanilijin sladkor isto kot navadni sladkor?
545,True,"Kemično orožje v 1. svetovni vojni -- Strupene kemikalije se kot orožje uporabljajo že tisoče let, vendar pa se je kemično orožje v večjem obsegu prvič začelo uporabljati med 1. svetovno vojno. Uporabljalo se ga je zlasti za to, da bi demoralizirali, poškodovali in ubili borce v strelskih jarkih, proti katerim so bili oblaki plina zaradi počasnega premikanja in statične narave najbolj učinkoviti. Uporabljalo se je več vrst orožja, od kemikalij za oslabitev, denimo solzivec, do smrtonosnih sredstev, kot so fosgen, klor ali iperit. Kemično orožje je predstavljalo velik del prve svetovne vojne in prve totalne vojne v 20. stoletju. S plinom je bilo mogoče ubiti omejeno število ljudi, in sicer približno 90 tisoč smrtnih žrtev od skupno 1,3 milijona žrtev plinskega napada. Plin je bil drugačen od ostalih orožji v tem obdobju, saj je bilo mogoče razviti protiukrepe, denimo plinske maske. Kasneje v vojni je postala uporaba plina bolj razširjena, vendar pa je postal manj učinkovit. Zaradi razširjene uporabe kemičnega orožja in vojnega napredka v sestavi močnih eksplozivov se 1. svetovni vojni občasno reče »kemijska vojna« in obdobje, v katerem je nastalo orožje za množično uničevanje.",Ali se je v 1. svetovni vojni uporabljal živčni plin?
547,False,"Ruralus Hagrid -- Devetnajst let po padcu Mrlakensteina je Hagrid še vedno na Bradavičarki in povabi Albusa Severusa Potterja, drugega sina Harryja in Ginny Weasley, v svojo kočo na čaj, kot je nekoč povabil Harryja. V intervjuju leta 2007 je J. K. Rowling, ko so jo vprašali, ali se je Hagrid poročil, odgovorila, da je bil Hagrid v zvezi z velikanko, a se ni izšlo.",Ali Hagrid umre v bitki za Bradavičarko?
