premise,hypothesis,label,idx
"Potrošniki so v Starbucksu v drugem četrtletju še naprej kupovali manj latte in kave, stroški prestrukturiranja pa so privedli do 77-odstotnega čistega dohodka, a padec prodaje je bil nekaj izboljšanja. Starbucks Corp. - v zadnjih četrtletjih ga je prizadelo zaznavanje, da so njegove pijače predrage - je v sredo dejal, da je prodaja na uveljavljenih lokacijah v prvih treh mesecih leta 2009 padla za 8 odstotkov po vsem svetu in v ZDA v primerjavi z letom prej. V zadnjih treh mesecih lanskega leta se je prodaja Starbucksa v isti prodajalni zmanjšala za 9 odstotkov, prodaja v ameriških prodajalnah pa za 10 odstotkov.",Starbucks je ameriški kavni velikan.,not_entailment,679
"Izrael nadzoruje območje približno 850 kvadratnih kilometrov na jugu Libanonske republike, medtem ko ima Sirija približno 30 tisoč vojakov na dveh tretjinah libanonskega ozemlja.","Sirija ima 30.000 vojakov v 60% Libanona, Izrael pa nadzoruje območje na jugu 850 kvadratnih kilometrov.",entailment,680
"Ashley Olsen se je odločila, da bo ostala s sestro dvojčico Mary-Kate, namesto da bi se odpravila na načrtovano potovanje v Avstralijo, da bi promovirala odprtje najnovejše filmske dogodivščine bratov in sester &quot;New York Minute&quot;, poroča AP.",Ashley Olsen načrtuje potovanje v Avstralijo z Mary-Kate.,not_entailment,681
"Po podatkih radarskih meritev je vesoljsko plovilo v zasebni lasti v vesolje prišlo le približno 400 metrov, vendar je bilo to dovolj za potrditev, da za organizacijo vesoljskih potovanj ni več potreben dobro podprt vladni projekt.",izstrelitve zasebne vesoljske ladje,entailment,682
Premier Silvio Berlusconi je bil izvoljen 28. marca z mandatom za reformo italijanskih poslovnih predpisov in izvlečenje gospodarstva iz recesije.,Italijanski premier je Silvio Berlusconi.,entailment,683
"Čeprav se je število potrjenih primerov ebole nekoliko povečalo na 26 v Gabonu in na 16 v Kongu Brazzaville, je zdaj novih okužb tako malo, da se zdi, da epidemija &quot;izgoreva&quot;.",V Zairu izbruhne epidemija ebole.,not_entailment,684
"Glede na raziskave, ki jih je opravilo raziskovalno podjetje za preprečevanje neželene pošte Sophos, so ZDA izvor več kot 42% vse neželene pošte. Sledijo Južna Koreja s 13% in Kitajska z 8% svetovne neželene pošte. Varnostna družba je izvedla revizijo svojih lončkov, da bi ugotovila številke. „Honeypot je poseben sistem, vzpostavljen za privabljanje neželene pošte ali pošiljatelje neželene pošte, da se oceni aktivnost neželene pošte. Takšna dejavnost ni povsem nepričakovana. Združene države predstavljajo nekaj več kot 25% celotne uporabe interneta, medtem ko imata Južna Koreja približno 4% oziroma 11% svetovnih uporabnikov interneta. Vendar ti odstotki še vedno kažejo na ZDA kot na nesorazmeren vir neželene pošte.",ZDA proizvajajo neželeno pošto.,entailment,685
"Njuhanje lepila je najpogostejše med najstniki. Iz njega praviloma zrastejo, ko jim postanejo na voljo druge droge, kot sta alkohol in konoplja. Znano je, da so sedemletniki začeli &quot;njuhati lepilo&quot;. Zaradi družbene stigme, povezane z &quot;vohanjem lepila&quot;, se večina sniferjev ustavi približno 16 ali 17 let, razen če je resno odvisna.",Njuhanje lepila je pogosto med mladimi.,entailment,686
"Pakistanski predsednik Pervez Musharraf se je v torek v Londonu pogovarjal z britanskim premierjem Gordonom Brownom in svojemu gostitelju zagotovil, da bodo Pakistan prihodnji mesec poštene volitve in je pripravljen nadaljevati trajen boj proti terorizmu in ekstremizmu. Obisk so splošno imenovali &quot;žaljiva žaljivost&quot; predsednika Mušarafa. Pakistanski voditelj je imel pogovore v Bruslju v Parizu, na Svetovnem gospodarskem forumu v švicarskem Davosu in zdaj v Londonu, v prizadevanju, ki je bilo videti kot poskus okrepitve evropske podpore njegovi vladi.",Musharraf se je z Brownom srečal v Londonu.,entailment,687
"Mesto je pobrateno z Glasgowom, Dortmundom, Plevenom in Le Manom.",Dortmund je pobraten z Glasgowom.,not_entailment,688
"Letos pa je tekmovanje dobilo novo nujnost, saj je Clintonova administracija, ki je preprečila kandidaturo vlade Pjongčanga za izgradnjo jedrskega arzenala, ponovno vzbudila nekaj strasti, ko je Severna Koreja kljubovala Zahodu.",Pjongjang je glavno mesto Severne Koreje.,not_entailment,689
"Sondhi Limthongkul, ustanovitelj političnega gibanja, ki je lani prevzelo letališče v Bangkoku, je v bolnišnici, potem ko je strelec z AK-47 svoj avto zasedel na bencinski črpalki in ga zgodaj zjutraj poškropil s kroglami. Neznano število orožnikov je izstrelilo pnevmatike avtomobila v lasti gospoda Sondhija, vodje gibanja &#39;rumene srajce&#39; Ljudskega zavezništva za demokracijo, in vozilo nanizal s kroglami. Potepuške krogle so zadele tudi bližnji javni avtobus.",Sondhi Limthongkul je prizadelo več kot 100 nabojev.,not_entailment,690
"Yankees je Hollywood razdelil z nečim, da bi se počutil dobro po sinočnji 5-4 izgubi proti Dodgersu.",Dodgers so na Fenwayu izgubili prvo tekmo doslej,not_entailment,691
Skupina Jemenski islamski džihad je nastala leta 1992 in jo sestavljajo stari vojaki iz Afganistana.,Jemsko skupino Islamski džihad so leta 1992 ustanovili stari afganistanski bojevniki.,entailment,692
"Vse življenje gospe Miers je živelo v Dallasu in se je vrtelo okoli njenega pravnega dela, njene družine in navezanosti na evangeličansko cerkev, ki jo je pripeljala do tega, kar je njen nekdanji župnik opisal kot razcvet vere pozno v življenju.",Ga. Miers je bila voditeljica evangeličanske cerkve.,not_entailment,693
"RJ Reynolds Tobacco je včeraj objavil, da namerava do konca leta 1993 v Turčiji zgraditi tovarno za proizvodnjo cigaret.",RJR je gradil tovarne v Turčiji.,not_entailment,694
"Da, voda je v arabsko-izraelskem konfliktu kritično sporno področje; vendar so glede na trenutno vzdušje vzpostavljanja miru in glede na splošno vojno utrujenost med državami in prebivalstvom takšne napovedi vznemirljivi deli subjektivizma.",Obstaja spor o teritorialnih vodah.,not_entailment,695
"Organizatorji 15. mednarodne konference o aidsu, ki bo v soboto predvidoma prihodnji mesec v Bangkoku na Tajskem, so se odzvali na tiskovna poročila, da je ugledni hotel v Bangkoku diskriminiral HIV pozitivne obiskovalce, ki so se ta mesec udeležili druge konference.",HIV pozitivni obiskovalci sodelujejo na 15. mednarodni konferenci o aidsu.,not_entailment,696
"Zbirka pričevanj v resničnem življenju Klausa Pohla, enega najbolj izvajanih nemških dramaturgov, ima svojo moč manj v običajnem pomenu besede drama kot v tem, kar razkriva - država, ki je še vedno globoko v nasprotju s seboj, kalejdoskop dogodkov, ki ne laska nobeni strani, ne zahodnemu kapitalizmu ne nekdanjemu komunističnemu režimu.",Klaus Pohl je nemški dramatik.,entailment,697
"Industrijsko povprečje Dow Jones (DJIA), eden glavnih delniških indeksov v ZDA, je podrlo rekord vseh časov, in sicer blizu 14.000,41 točke, kar je 82,19 točke (0,59%) glede na zadnje zaprtje. Le 59 dni pred tem je Dow dosegel najvišjo vrednost, ko je presegel 13.000. To je prvič, da je DJIA od prvega nastopa 26. maja 1896 kdaj zaprl več kot 14.000.",Dow Jones je nabral točke.,entailment,698
"Starajoči se jedrski objekt v državi trenutno zadeva armenske okoljske skupine, pa tudi tiste v sosednjih državah. Dvajset milj zahodno od prestolnice Erevana je bila v sedemdesetih letih zgrajena armenska jedrska elektrarna Metsamor, v kateri sta dva jedrska reaktorja VVER-440 Model V230. Metsamor, ki trenutno proizvaja približno 40 odstotkov električne energije v državi, se nahaja v potresno aktivnem območju in je bil zaprt še pred razpadom Sovjetske zveze leta 1991 zaradi uničujočega potresa v Spitaku 7. decembra 1988.",Jedrski reaktor Metsamor je bil zaprt po armenskem potresu 1988.,entailment,699
"Pratibha Patil je zmagala na 12. predsedniških volitvah v Republiki Indiji in postala prva predsednica druge najbolj naseljene države na svetu. 72-letni Patil, prej guverner zvezne države Radžastan, je imel podporo vladne koalicije. Zmagala je približno dve tretjini glasov, kar je skoraj podvojilo število glasov njenega najbližjega tekmeca Bhairona Singha Shekhawata, ki je po izgubi na volišču odstopil s položaja podpredsednice.",Čile ima žensko predsednico.,not_entailment,700
"V dokumentih, ki so jih vložili pri ameriškem okrožnem sodišču v okrožju Columbia, so vladni odvetniki trdili, da so trije zaporniki, ki so prejšnji mesec samomorili s tem, da so se obesili, usklajevali svoja dejanja z uporabo zaupnosti odvetnika in stranke med seboj. Vladni uradniki so povedali, da so med papirji z oznako &quot;Privilegije odvetniške stranke&quot; navodila, kako se zavežejo, in tajni zapisnik o dejavnostih v taboriščih in lokacijah zapornikov.",Tri osebe so v zaporu storile samomor.,entailment,701
"Hitro rastočo žejo po vodi na svetu je mogoče izpolniti le s prečiščevanjem morske vode, saj reke in zbiralniki ne morejo zadovoljiti povpraševanja, je Španija prejšnji teden sporočila s pomembnim programom za boj proti lastnemu kroničnemu pomanjkanju.",Delta Ebro se uporablja za kmetovanje.,not_entailment,702
"Marriott je priljubljeno mesto za bivanje tujcev in ugledno podjetje v mestu, kljub valu nasilja, ki ga država trpi. Januarja 2007 je bil hotel žrtev še enega napada, kjer je bil ubit varnostnik in več ljudi ranjenih, potem ko je stražar preprečil, da bi bombnik prišel do hotela in ga prisilil, da je eksplodiral, kjer je bil.",V Londonu je hotel Marriott.,not_entailment,703
"Ta primer je eden prvih, ki se preganja po novem ameriškem zakonu, ki ureja neželeno e-pošto.","Obstaja nov ameriški zakon, ki prepoveduje e-pošto.",not_entailment,704
"Cage je velik oboževalec filma &quot;Superman&quot; (ki se je rodil na izmišljenem planetu Krypton) in bi moral igrati vlogo v filmu, načrtovanem za devetdeseta leta, ki sploh ni nastal.",Cage je igral Supermana.,not_entailment,705
"Nemška ekipa pravi, da je njihova študija edino poročilo o podaljšanem zimskem spanju tropskih sesalcev.",Skupina preučuje prezimovanje sesalcev v Nemčiji.,not_entailment,706
"Uradniki so dejali, da je bilo v pištoli devet vojakov in dva policista ubitih, dva policista pa ranjena.","Uradniki so sporočili, da je bilo v pištoli ubitih šest policistov in dva vojaka.",not_entailment,707
"V Iranu bodo potekale prve predsedniške volitve v zgodovini med predsednikom Akbarjem Hashemiem Rafsanjanijem in trdo županom Teherana, so v soboto sporočili volilni uradniki.","Hashemi Rafsanjani se bo na iranskih predsedniških volitvah doslej soočil s trdim županom Teherana, so v soboto sporočili uradniki.",entailment,708
Edwin Hubble je priznan kot eden najpomembnejših astronomov moderne dobe.,Edwin Hubble je bil astronom.,entailment,709
"Herald je zdaj zadovoljen, da lahko Kennedy odločno nadaljuje s ponovno preučitvijo iraške vojne in kako iz nje izvleči naš narod. Če govorim resno, bom to spremembo mislil kot streznitev, da smo vsi, kjer koli smo na liberalno-konservativnem kontinuumu, globoko zaskrbljeni zaradi škodljivih vplivov iraške vojne in iščemo načine, kako sodelovati rešite ga čim prej.","Vsi so globoko zaskrbljeni zaradi škode v iraški vojni in iščejo načine, kako jo rešiti.",entailment,710
"Južno od Grajskega hriba se dviga višji hrib Gellert (771 čevljev), strma apnenčasta obloga s pogledom na Donavo, ki ponuja panoramski pogled na celo mesto.","Na jugu je hrib Gellert, na katerem je Citadela iz 19. stoletja.",not_entailment,711
"Umrl je Miller, dramaturg, nagrajen s Pulitzerjevo nagrado, katerega najslavnejša izmišljena stvaritev Loman v filmu &quot;Smrt prodajalca&quot; je simboliziral ameriške sanje, ki so se zmotile.","Umrl je dramatik Miller, avtor Pulitzerove nagrade &quot;Smrt prodajalca&quot;.",entailment,712
"Zaloge premogovnikov so se dvignile v ponedeljek zjutraj, potem ko so v članku Barron&#39;s zapisali, da ima industrija koristi od naraščajočih cen zemeljskega plina in pojava novih elektrarn, ki oddajajo manj onesnaženja.",Zaloge premoga se povečujejo.,entailment,713
"Če je odkritje zgornjega kvarka potrjeno, zaključi en sklop subatomskih gradnikov, katerih obstoj napoveduje prevladujoča teorija, imenovana Standardni model, delcev in sil, ki določajo temeljno naravo snovi in energije. V muhastem leksikonu sodobne fizike se osnovni delci imenujejo kvarki, leptoni in bozoni.","Kvarki, leptoni in bozoni so trije osnovni delci fizike po Standardnem modelu.",entailment,714
"Trdo stališče Pekinga do dalajlame se je v zadnjih letih precej zaostrilo. Poveznice z Nemčijo so se potopile po nosu, potem ko se je kanclerka Angela Merkel septembra 2007 srečala z dalajlamo, okrevala pa se je šele potem, ko je Berlin v sredo obljubil podobno kot Francija. Podjetja, ki naj bi podpirala dejavnosti izgnancev, so bila na Kitajskem izpostavljena očitnim kampanjam in pozivom k bojkotu, peking pa je prejšnji mesec obljubil nastop britanske rock skupine Oasis na celinski Kitajski, ker je nekoč sodeloval kitarist in glavni tekstopisec Noel Gallagher. brezplačni koncert v Tibetu - leta 1997.",Angela Merkel je budistka.,not_entailment,715
"Kabul - Bombi ob cesti, ki je ranila šest ameriških vojakov v vzhodnem Afganistanu, je v ponedeljek v bližini policijske postaje v Kabulu sledil eksplozija, ki je ranila dva policista in civilno osebo.",Šest ameriških vojakov je prebivalo v Afganistanu.,not_entailment,716
"Orkan Isabel je bil tropska nevihta, ko je vstopila v Virginijo, vendar je povzročila škodo 75% države, zaradi česar je bila ena najdražjih nesreč v zgodovini Virginije.",Tropska nevihta je povzročila znatno premoženjsko škodo ali smrt.,entailment,717
"Vse bolj jasno je, da Iran hitro napreduje v smeri doseganja zmogljivosti jedrskega orožja, saj so ameriški uradniki potrdili prisotnost različnih jedrskih lokacij, ki jih Teheran ni razkril",Iransko kemično orožje ogroža ZDA.,not_entailment,718
"Kuvajt postane četrta zalivska država, v kateri lahko na volitvah volijo tako ženske kot moški. Savdska Arabija ima strogo omejene volitve samo za moške.",Ženske lahko volijo na volitvah v Saudovi Arabiji.,not_entailment,719
"Han je v Seulu potrdil, da so se vsi severnokorejski mediji v ponedeljek na Kim Jong Ila začeli sklicevati kot na &quot;njegovo ekscelenco&quot; ali na izraz, ki je bil prej rezerviran za njegovega očeta, &quot;velikega vodjo&quot;. Do zdaj so mlajšo Kim imenovali &quot;Dragi vodja&quot;.",Sin Kim Il Sunga se imenuje Kim Jong Il.,not_entailment,720
"Daily Mail je potrdil, da je izstopil iz ponudb za konkurenčni časopis Daily Telegraph.",Dnevni telegraf se prodaja.,not_entailment,721
"V tekmi, zreli s polemikami, je Manchester United odstopil s ključno zmago v gosteh, potem ko jim je Ryan Giggs s prostim strelom pripeljal do vodstva. Lille je protestiral proti golu in dejal, da je ekipa postavila zid v trenutku, ko je Giggs izvedel udarec, in je skoraj zapustil igrišče. Po nategovanju uradnikov se je igra nadaljevala, toda Lille je dejal, da bo vložil vložek za ponovitev z UEFO. UEFA je zahtevek zavrnila in cilj razglasila za veljavnega, prav tako pa se je odločila, da bo &quot;sprožila postopek proti Lillu zaradi neprimernega vedenja njihovih igralcev takoj po zadetku&quot;.",Lille je premagal Manchester United.,not_entailment,722
"Po besedah Nelsona Beaversa, ki je solastnik sedanjega podjetja Carolina Analytical Laboratories, LLC. in ima zgodovino lastništva / zaposlitve v podjetjih Woodson-Tenent in Eurofins, septični sistem je bil nameščen v zgodnjih devetdesetih letih.",Nelson Beavers je delal za Eurofins.,entailment,723
"Na predvečer težko pričakovanega povračilnega ukrepanja proti ruskim silam v Groznem so vojaški poveljniki iz mesta umaknili ključne enote, zaradi česar je bilo ranljivo za gverilsko infiltracijo.",Ruske sile ranljive za gverilske borce,not_entailment,724
"Predsednikov načrt za izredne razmere za pomoč pri aidsu (PEPFAR) zagotavlja financiranje zdravljenja virusa HIV / AIDS-a, malarije in tuberkuloze v 15 osrednjih državah med najrevnejšimi na svetu, predvsem v Afriki. Od 30. septembra je PEPFAR podprl reševalno protiretrovirusno zdravljenje za več kot 2,1 milijona moških, žensk in otrok, ki živijo s HIV / aidsom po vsem svetu, vključno z več kot dvema milijonoma ljudi v podsaharski Afriki, je dejal Perino. Skoraj 9,7 milijona ljudi, prizadetih zaradi virusa HIV / aidsa v državah PEPFAR, vključno s skoraj štirimi milijoni sirot in drugimi otroki, je do tega datuma dobilo &quot;sočutno oskrbo&quot;, je dejala. &quot;Skoraj 240.000 dojenčkov se je rodilo brez virusa HIV zaradi podpore Američanov za programe, ki preprečujejo, da bi matere virus prenašale na svoje otroke,&quot; je dodal Perino.",Pepfar je ustanovil predsednik Bush.,not_entailment,725
"David Marshall, odgovoren za izobraževanje strank pri ABB Robotics v Milton Keynesu, goreče upa, da bo industrija hrane, pijač in slaščic postala naslednji velik trg za robote.",Roboti se na splošno uporabljajo v živilski industriji.,not_entailment,726
"Daytonski mirovni sporazum za Bosno in Hercegovino je bil prvi večji mirovni sporazum, sprejet po pekinški konferenci decembra 1995.",Daytonska mirovna pogodba je bila oblikovana za konec vojne v Bosni.,entailment,727
"Letalo, napolnjeno s turisti, ki se vračajo domov na francoski karibski otok Martinique, je v torek strmoglavil v Venezueli.","Letalo, ki je dopuščalo domov na otok Martinik, je strmoglavilo v torek v Venezueli.",entailment,728
"Sposobnost ljudi, da se prilagodijo in se pomirijo z novo situacijo, tudi če se počutijo ranljive, je res izjemna, je dejal Randy Quevillon, predstojnik oddelka za psihologijo in Inštituta za duševno zdravje pri katastrofi na Univerzi v Južni Dakoti.",Randy Quevillon je zaposlen na Univerzi v Južni Dakoti.,entailment,729
"Eddeh je znova izrazil svoje mnenje, da bi bilo treba predsednika Al-Hrawija vrniti za nadaljnja tri leta, češ da ima &quot;velike izkušnje z vodenjem države, vendar bi bil njegov odstop primeren po umiku izraelskih in sirskih sil.&quot;","Eddeh poziva k podaljšanju predsedovanja Al-Hrawija, češ da mora odstopiti po umiku izraelskih in sirskih sil. &quot;",entailment,730
"Prve ostanke dinozavrov v jugovzhodni Aziji so našli v Laosu že leta 1936, vendar se je le malo zgodilo do osemdesetih let. Velik del območja je močno rastlinjast in čeprav težko raziskujoč, v prihodnosti obeta številne pomembne najdbe. Tajska je zagotovila najboljše najdbe, zlasti iz skupine Khorat, ki zajema obdobje od poznega triasa do zgodnje krede.",Ostanke dinozavrov so našli v Aziji.,entailment,731
"V petek, 9. junija 2006, guverner Oklahome Brad Henry je podpisal SB 1800, ki dovoljuje smrtno kazen ali pogojno življenje za obsojene zaradi spolnega zlorabe otroka, mlajšega od 14 let. Državni preiskovalni urad. Oklahoma se je zdaj pridružila Floridi, Louisiani, Montani in Južni Karolini, da bi sprejela podobne ukrepe za ponavljajoče se nadlegovanje otrok.","SB 1800 je zakon, ki ščiti otroke.",entailment,732
"Pharos, monumentalni svetilnik, zgrajen okoli 280 pr. N. Št. In visok 330 metrov, je stoletja osvetljeval vhod v aleksandrijsko pristanišče, vendar arheologi nikoli niso mogli pozitivno identificirati nobenih ostankov.",Svetilnik Pharos je bil zgrajen okoli 280 pr.,entailment,733
"Ameriška astronavtka Sunita Williams, ki je trenutno na krovu Mednarodne vesoljske postaje, je danes podrla rekord najdaljšega neprekinjenega vesoljskega leta ženske. Ob 5.47 po UTC UTC je Williams presegel prejšnji rekord 188 dni in štiri ure, ki ga je postavila Shannon Lucid leta 1996. To ni edini rekord, ki ga je Williams podrl. V začetku letošnjega leta je postavila rekord 29 ur in 17 minut za čas, ki ga je ženska preživela na vesoljskih sprehodih.","Anousheh Ansari je plačal, da gre v vesolje.",not_entailment,734
"Tako kot ZDA so tudi uslužbenci OZN zgroženi, da je Aristide v Port-au-Princeu ubil konferenco, ki jo je sklical premier Robert Malval, v upanju, da bo združil vse spore.",Aristide je ubil premierja Roberta Malvala,not_entailment,735
"Michael Jordan, trener Phil Jackson in zvezdna zasedba, vključno s Scottiejem Pippenom, so Chicago Bullse popeljali na šest prvenstev državne košarkarske zveze.",Košarkarska ekipa Bulls ima sedež v Chicagu.,entailment,736
"Prostor za mednarodno letališče v Miamiju je bil v sredo evakuiran za tri ure, potem ko so izpraznili poper v spreju, zaradi česar je 43 ljudi trpelo zaradi dihalne stiske.","Letališče je bilo evakuirano v sredo, potem ko so ljudje začeli težko dihati.",entailment,737
"Otroci Hinostroze so policiji povedali, da so štirje posamezniki s kapuco vdrli v hišo in ustrelili mater, potem ko so jo užalili.",Hinostrozini otroci so mamo prijeli s pištolo.,not_entailment,738
"Uprava za prehrano in zdravila, ki ureja poskuse na ljudeh, pravi, da njeni predpisi prepovedujejo kloniranje ljudi brez predhodnega dovoljenja agencije, in začela preiskavo, ali je Clonaid nezakonito opravljal kakršna koli dela na ameriških tleh.",Uprava za hrano in zdravila prepoveduje kloniranje ljudi brez predhodnega dovoljenja.,entailment,739
"Trije veliki bombni napadi v manj kot enem tednu bodo povzročili nekaj zaskrbljenosti med političnimi voditelji v Bagdadu in Washingtonu. Pretekli četrtek je na prenatrpani živinski tržnici v provinci Babel, južno od Bagdada, z bombo ubil 10 ljudi. V nedeljo je več kot 30 umrlo, ko se je samomorilski bombnik, ki je vozil motor, razstrelil na policijski akademiji v prestolnici. V torkovem bombardiranju v Abu Ghraibu je bilo ubitih in ranjeno tudi veliko število ljudi - vključno z novinarji in lokalnimi uradniki.",Nekateri novinarji in lokalni uradniki so bili ubiti med enim od treh bombnih napadov na območju Bagdada.,entailment,740
"V intervjuju ta teden je predsednik dejal, da bosta podpredsednik Dick Cheney in obrambni minister Donald Rumsfeld cenjen del njegove uprave, dokler se njegovo predsedovanje ne konča.",Dick Cheney je podpredsednik obrambnega ministra Donalda Rumsfelda.,not_entailment,741
"Ocene se zelo razlikujejo, vendar verjamejo, da v domovih, tovarnah, trgovinah, poljih, bordelih in na ulicah podeželskih in urbanih Indije trudi do 100 milijonov otrok.",Otroško delo se pogosto uporablja v Aziji.,entailment,742
"Skupina skupaj s široko koalicijo razoroževalnih, okoljskih, mirovnih in verskih organizacij pričakuje, da bo bojkot pritiskal na francoska podjetja, da uresničijo svoj gospodarski vpliv, in Chiraca spodbudil, naj konča vsa testiranja jedrskega orožja.",Mednarodni pritisk se izvaja za končanje francoskih jedrskih poskusov.,entailment,743
"Odgovor na prvo vprašanje, &quot;koliko celin je?&quot;, Je sedem.",Celin je sedem.,entailment,744
"David Nabarro iz Svetovne zdravstvene organizacije je dejal, da lahko pandemija pride kadar koli in zahteva od 5 do 150 milijonov življenj, odvisno od odziva sveta na ptičjo gripo.","Svetovna zdravstvena organizacija se je v petek preselila v zaskrbljujoče napovedi, da bi lahko pandemija, ki izvira iz virusa ptičje gripe, ki pustoši po delih Azije, ubila kar 150 milijonov ljudi.",not_entailment,745
"Bountiful je prispel po koncu vojne in zaplul v zaliv San Francisco 21. avgusta 1945. Bountiful je bil nato dodeljen kot bolnišnična ladja v Yokosuki na Japonskem, odhod iz San Francisca 1. novembra 1945.",Bountiful je 1. novembra 1945 prišel v San Francisco.,not_entailment,746
Po dveh letih so preiskovanci aspirina zmanjšali tveganje za smrtno in nefatalno kap.,Ljudje so med jemanjem aspirina imeli neželene učinke.,not_entailment,747
"Najstnik, pripadnik protiscientološke skupine Anonymous, je priznal, da je na uradni spletni strani Scientološke cerkve scientology.org sprožil napad porazdeljene zavrnitve storitve (DDoS). Dmitriy Guzner, star 18 let, bo priznal obtožbe, povezane z napadom DDoS. Zdaj mu grozi največ deset let zapora. V odgovor na takšne incidente je Scientologija anonimne imenovala &quot;kiber teroristi&quot;. DDoS napad se zgodi, ko se več računalnikov uporablja za napad na določeno spletno mesto s toliko prometa, da ni dostopno. Hekerji napadajo strežnike, ki zavzamejo ves razpoložljiv prostor in zakonitemu uporabniku preprečijo dostop.","18-letni D. Guzner je član skupine Anonymous, ki je napadla scientološko spletno stran.",entailment,748
"Gre za osamosvojitveno gibanje tamilskih ljudstev na severnem Šrilanki - starodavna dežela Cejlon, neodvisna od Britanije leta 1948, ki je leta 1972 prevzela ime Šrilanka, sinhalska beseda.",Trenutno ime Cejlona je Šrilanka.,entailment,749
"Biografski film o igralcu wannabe, Johnnyju Stompanatu, bo morda režiral Adrian Lyne iz &quot;Usodne privlačnosti&quot; in &quot;Nespodobnega predloga&quot;.",Johnny Stomponato je igral v filmu Fatal Attraction.,not_entailment,750
"Široko vidno polje za opazovanje morja, SeaWiFS, je oceanografom prineslo dobrodošlo in izboljšano obnovo podatkov o daljinskem zaznavanju oceanske barve.",Razvito je oceansko daljinsko zaznavanje.,entailment,751
"Pred 20 milijoni let so obstajale opice, pred petimi milijoni let pa so se naši najbližji predniki in bratranci, zgodnji opicni ljudje, ločili od drugih opic.",Ljudje so obstajali pred 10.000 leti.,not_entailment,752
"Ameriško obrambno ministrstvo je danes poročalo, da se bombardiranje Iraka izvaja predvsem s križarkami, izstreljenimi iz ameriških letalonosilk in bombnikov B52.","Pentagon je danes poročal, da se bombardiranje Iraka izvaja predvsem s križarkami, izstreljenimi iz ameriških letal.",entailment,753
"V tem času je Wilson prejel nagrado Tony za najboljšo igro za &quot;Fences&quot; in nominacije za najboljšo igro Tony za šest drugih njegovih iger, Pulitzerjevo nagrado za &quot;Fences&quot; in &quot;The Piano Lesson&quot; in (zapis) sedem nagrad New York Drama Critics &#39;Circle.",Wilson je prejel Pulitzerjevo nagrado.,entailment,754
"Kanada je uradno dvojezična država, vendar se skoraj 60% prebivalstva, ki govori angleščino kot materni jezik, in le 24% govori francosko kot prvi jezik, sprašuje, ali je Kanada res dvojezična država ali dvojezična. narod samo na papirju. Francoščina ni edina jezikovna manjšina v Kanadi, nekateri jeziki, ki se govorijo po vrstnem redu priljubljenosti, pa so kitajščina, italijanščina, nemščina, poljščina, španščina, portugalščina, pandžabi, ukrajinščina, arabščina, nizozemščina, tagalog, grščina, vietnamščina, kri in Inuktitut.",Francoščina je najbolj razširjen jezik v Québecu.,not_entailment,755
"Anglo / nizozemska kraljevska nizozemska školjka, Total, Francija in španski Repsol so bili navedeni kot primeri uveljavljenih naftnih družb, vključenih v program olje za hrano, preden so se leta 2001 začele zaračunavati dodatne dajatve.",Skupaj je sodeloval v programu olje za hrano.,entailment,756
"Alzheimerjevo bolezen uspešno zdravimo in nadzorujemo z zdravili, ki zavirajo sintezo beljakovin beta-amiloida.",Alzheimerjevo bolezen zdravimo z zdravili.,entailment,757
V novem poročilu je v boju proti drogam prezrto lepilo in druge oblike zlorabe topil.,Njuhanje lepila je pogosto med mladimi.,not_entailment,758
"Naboj je v seriji streljanj v dveh mestih v južni ameriški zvezni državi Alabama ubil vsaj devet ljudi, preden se je ubil. Uradniki pravijo, da so bili vsaj štirje ločeni incidenti s streljanjem. Moški je streljal na domove, bencinsko črpalko, trgovine in vozila v Samsonu in Ženevi blizu meje na Floridi. V enem domu je bilo ubitih pet ljudi - vključno z otrokom. Število žrtev naj bi bilo članov družine orožnika. Moški formalno ni bil identificiran, v lokalnem tisku pa je bil imenovan kot Michael McLendon.",Michael McLendon je v Samsonu ubil svojega otroka.,not_entailment,759
"Kitajska napoved tekmeca Panchen Lame dečku, ki ga je dalajlama že priznal, kaže na to, da je njen komunistični režim obupno uporabljal kakršna koli sredstva za okrepitev nadzora nad Tibetom in tibetanskimi zadevami.",Dalaj Lama in vlada Ljudske republike Kitajske sta v sporu zaradi reinkarnacije Panchen Lame.,entailment,760
"Čeprav je Eurodisney odličen družinski dan, obiščite tudi dvorce v okolici ter različne parke in precej majhne vasice.",EuroDisney se nahaja v različnih parkih.,not_entailment,761
Delež Vodafonejevih novih naročnikov na Japonskem se je v zadnjih mesecih zmanjšal.,V zadnjih mesecih je bilo na Japonsko veliko novih naročnikov na Vodafone.,not_entailment,762
"Poraz je Liverpoolu ponudil manjšo moralno zmago, saj je proti Chelseaju v prvenstveni tekmi dosegel šele drugi zadetek v tej sezoni.",Liverpool je premagal Chelsea.,not_entailment,763
"Priče pa so povedale, da so nekateri črno oblečeni orožniki, ki so napadli policijsko postajo in vladne zgradbe v mestu Baquba, 60 km severozahodno od Bagdada, razglašali zvestobo Zarqawiju in nosili rumene trakove, ki so jih povezovali s svojo skupino.",Nekateri orožniki so pokazali zvestobo Baqubini skupini.,not_entailment,764
